Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,207,214.73,214.73,206.98,28.58M,-2.63%
2021-02-22,212.6,218,218,211.5,4.22M,-1.57%
2021-02-19,216,215,217.86,214,3.36M,0.91%
2021-02-18,214.05,218,218.49,214.05,6.84M,-1.63%
2021-02-17,217.59,218,219.7,215,2.71M,-0.19%
2021-02-16,218,219,221,217.05,11.09M,-0.37%
2021-02-15,218.8,224,224,217,4.92M,0.88%
2021-02-12,216.9,220.95,220.95,215.1,15.42M,-0.96%
2021-02-11,219,223,224.8,219,9.21M,-2.07%
2021-02-10,223.63,223.35,225.8,223.11,2.94M,0.13%
2021-02-09,223.35,222,225.8,221.5,8.80M,0.35%
2021-02-08,222.57,226.45,226.45,222,11.12M,-0.10%
2021-02-05,222.8,226,227.99,221.31,5.01M,-0.31%
2021-02-04,223.5,223,224,223,3.90M,0.22%
2021-02-03,223,225,225,222,16.90M,-0.45%
2021-02-02,224,223.51,224.71,223.5,15.82M,1.22%
2021-02-01,221.3,223,229.8,221,2.53M,-0.76%
2021-01-29,223,226,229.35,222.3,20.59M,-1.33%
2021-01-28,226,226.44,226.44,223.01,2.68M,-0.19%
2021-01-27,226.44,230,230,225.02,6.61M,-1.12%
2021-01-26,229,229,231,227,5.27M,0.00%
2021-01-25,229,224.01,229,222.8,5.85M,2.23%
2021-01-22,224,228.99,228.99,222.99,6.24M,-1.43%
2021-01-21,227.25,232,233.88,227.25,7.49M,-0.32%
2021-01-20,227.98,230.86,231,226.1,16.29M,-0.45%
2021-01-19,229,230,233.52,228.99,13.00M,0.00%
2021-01-18,229,226.4,229.3,223.2,6.11M,1.19%
2021-01-15,226.3,225,227.5,225,7.77M,-0.26%
2021-01-14,226.9,226.3,227.2,225,4.24M,0.23%
2021-01-13,226.39,229.5,229.5,225.05,9.09M,-0.39%
2021-01-12,227.28,226.99,229.8,224,12.68M,0.90%
2021-01-11,225.25,231.5,231.5,223,30.44M,-2.48%
2021-01-08,230.99,233.5,234.5,227.5,4.91M,-0.35%
2021-01-07,231.81,230,233.49,229.22,45.30M,1.23%
2021-01-06,229,227.5,235,227,38.82M,-0.43%
2021-01-05,230,230.1,231.85,228,10.62M,0.22%
2021-01-04,229.5,229,231,228,5.25M,0.22%
2020-12-31,228.99,228.99,228.99,228.99,-,0.00%
2020-12-30,228.99,225,228.99,223.55,14.32M,2.00%
2020-12-29,224.5,225.5,226,223.55,5.00M,-0.44%
2020-12-28,225.5,223.4,226,223.4,24.23M,0.94%
2020-12-24,223.4,222.5,226.5,222.05,23.43M,0.18%
2020-12-23,223,222,223.2,220.2,3.98M,1.35%
2020-12-22,220.02,219.7,223.6,219.7,6.01M,0.12%
2020-12-21,219.75,218.3,219.75,213,4.68M,0.39%
2020-12-18,218.9,215.01,218.9,212.5,12.27M,1.81%
2020-12-17,215,219.8,219.8,211.99,13.23M,-0.92%
2020-12-16,216.99,223.02,223.02,216.02,20.55M,-2.63%
2020-12-15,222.84,226,228,220.2,8.50M,-1.40%
2020-12-14,226,227.6,229.81,226,23.65M,-0.66%
2020-12-11,227.5,227,229.79,225.3,20.58M,0.41%
2020-12-10,226.57,234.49,234.49,226.57,31.09M,-5.60%
2020-12-09,240,237,240,233,39.81M,1.27%
2020-12-07,237,236.9,241,234.03,17.97M,0.00%
2020-12-04,237,234.3,238.99,234.3,36.36M,1.30%
2020-12-03,233.96,230,238.9,230,65.12M,1.72%
2020-12-02,230,221,232,220,43.18M,4.07%
2020-12-01,221,225,225,218.1,45.39M,0.00%
2020-11-30,221,221.1,223.97,215.1,315.89M,0.00%
2020-11-27,221,224,224,217.03,38.93M,-1.78%
2020-11-26,225,227,227,216,28.92M,1.12%
2020-11-25,222.5,226,226.9,213.75,30.89M,-1.11%
2020-11-24,225,224.9,226.7,223.99,24.08M,1.31%
2020-11-23,222.1,220,222.8,218,34.64M,2.21%
2020-11-20,217.3,210,217.3,210,54.72M,4.48%
2020-11-19,207.99,205.7,208.98,203,55.43M,1.45%
2020-11-18,205.02,207.77,207.8,197.5,84.88M,-0.34%
2020-11-17,205.71,195,205.71,193,59.25M,6.31%
2020-11-16,193.5,198,200,191.5,48.62M,-1.28%
2020-11-13,196,196.9,202.21,195,13.16M,0.84%
2020-11-12,194.37,203.5,203.5,194.37,12.09M,-4.53%
2020-11-11,203.6,210,210,196,15.11M,-4.86%
2020-11-10,214,211.86,217.9,210,19.55M,1.01%
2020-11-09,211.86,200,218.02,200,14.14M,5.93%
2020-11-06,200,190,203.1,189.9,6.11M,5.26%
2020-11-05,190,192,195.87,186.03,12.80M,-1.04%
2020-11-04,192,192,194,187.63,4.34M,0.84%
2020-11-03,190.4,199.41,201.8,190.14,6.83M,-4.51%
2020-11-02,199.4,200.87,201.9,197.5,4.95M,-0.73%
2020-10-30,200.87,203,203,197.02,45.51M,-1.05%
2020-10-29,203,200.9,205.01,197,8.45M,0.60%
2020-10-28,201.79,202.66,202.66,195.31,9.30M,-0.43%
2020-10-27,202.66,207.5,208.42,202.44,4.96M,-2.04%
2020-10-26,206.89,212.5,212.5,204.03,5.02M,-2.64%
2020-10-23,212.5,213.5,213.5,211.6,11.69M,0.47%
2020-10-22,211.5,214,216.14,211.5,22.86M,-1.17%
2020-10-21,214,214.6,216,212,26.89M,-0.28%
2020-10-20,214.6,213.75,216.27,212.39,16.05M,0.42%
2020-10-19,213.7,220,220,212.56,9.16M,-2.51%
2020-10-16,219.21,219.9,222.86,217.57,5.47M,-0.36%
2020-10-15,220,211.9,225,210.2,10.76M,3.63%
2020-10-14,212.3,213.95,214.31,210.99,11.56M,1.36%
2020-10-13,209.45,213.45,214.01,207.1,41.28M,-1.87%
2020-10-09,213.45,212.01,218.01,212,20.97M,0.68%
2020-10-08,212,214.9,215,210.5,6.37M,-1.35%
2020-10-07,214.9,214.9,214.98,212.65,8.58M,0.00%
2020-10-06,214.9,215.5,215.65,208,5.87M,-0.28%
2020-10-05,215.5,216.98,221,214.99,3.24M,-0.68%
2020-10-02,216.98,219,219,216.5,6.53M,-0.92%
2020-10-01,219,219,219.89,217.5,5.66M,-0.45%
2020-09-30,220,224,224,215,21.64M,-1.79%
2020-09-29,224,221.15,224.5,215.1,4.13M,1.29%
2020-09-28,221.14,223.6,223.6,218.5,1.63M,-1.06%
2020-09-25,223.52,223,224.9,222.5,1.61M,0.61%
2020-09-24,222.16,224.1,228.9,222.16,8.71M,-0.82%
2020-09-23,224,224.2,225.8,221.93,5.85M,0.00%
2020-09-22,224.01,222.2,224.01,220.3,11.28M,1.09%
2020-09-21,221.6,228,228,219.99,6.68M,-2.81%
2020-09-17,228,224,228,223.06,16.60M,1.79%
2020-09-16,224,225.3,225.3,223.1,16.74M,-0.44%
2020-09-15,225,226,229.01,223,26.94M,-1.10%
2020-09-14,227.5,229.99,232,224,29.62M,1.65%
2020-09-11,223.8,228.1,231.9,222.27,16.16M,-1.84%
2020-09-10,228,236.2,236.2,225.03,11.38M,-2.36%
2020-09-09,233.5,238,240,233.5,4.56M,-1.48%
2020-09-08,237,234,238,232.5,29.24M,1.29%
2020-09-07,233.98,233,234.9,232.01,2.01M,0.94%
2020-09-04,231.8,238,238.01,230,7.20M,-1.36%
2020-09-03,235,242.9,242.9,233.2,9.56M,-2.08%
2020-09-02,240,234.5,240,232.1,25.42M,2.35%
2020-09-01,234.5,238.99,238.99,233,8.48M,0.64%
2020-08-31,233,239.5,239.5,230,21.36M,-2.51%
2020-08-28,238.99,245,246.01,237.22,10.77M,-2.45%
2020-08-27,245,250.7,250.7,243,16.59M,-2.27%
2020-08-26,250.7,252,256.89,245,9.02M,-0.52%
2020-08-25,252,261,261,251,11.04M,-3.08%
2020-08-24,260,263,263.25,257,2.38M,-0.76%
2020-08-21,262,264.99,264.99,258.6,4.31M,-0.38%
2020-08-20,263,269,269,262.99,1.68M,-0.75%
2020-08-19,265,270.9,271,265,3.40M,-1.71%
2020-08-18,269.6,271.99,271.99,265,3.13M,0.22%
2020-08-17,269,269.8,269.8,260.1,5.84M,1.93%
2020-08-14,263.9,262.32,266.9,262.32,4.39M,0.73%
2020-08-13,262,270,274.99,262,3.99M,-2.59%
2020-08-12,268.98,267.5,270,267.5,3.47M,1.08%
2020-08-11,266.1,263.21,270.3,263.15,3.99M,1.18%
2020-08-10,263,265,267.4,263,4.22M,0.00%
2020-08-07,263,265.99,270,263,5.43M,0.00%
2020-08-06,263,262.3,266,260.06,1.97M,1.13%
2020-08-05,260.06,258.05,263.5,258.05,5.83M,0.79%
2020-08-04,258.01,264.8,265,255.01,6.69M,-1.34%
2020-08-03,261.52,266.14,267.49,260.52,2.56M,-1.74%
2020-07-31,266.14,264,266.28,256.25,19.56M,0.81%
2020-07-30,264,268,272.89,260.09,16.90M,-1.49%
2020-07-29,268,275,275,265.2,3.69M,-1.47%
2020-07-28,272,272.5,276,271.2,5.12M,0.00%
2020-07-27,272.01,273.6,278.23,271.5,2.04M,1.07%
2020-07-24,269.13,266.03,274.8,266.03,5.28M,1.56%
2020-07-23,265,271.97,279.79,265,8.36M,-2.57%
2020-07-22,272,270,277,268,5.56M,-0.33%
2020-07-21,272.9,274,274.95,270,13.17M,-1.83%
2020-07-20,278,287.49,287.49,275.1,4.65M,-3.30%
2020-07-17,287.5,285.2,295,285,2.59M,0.30%
2020-07-15,286.65,299,299,285.25,13.86M,-3.52%
2020-07-14,297.11,289,297.11,289,8.57M,0.03%
2020-07-13,297.02,283.8,299,283.8,11.57M,2.42%
2020-07-10,290,287,290,285,3.76M,1.05%
2020-07-09,287,293,293,285.06,12.83M,-4.27%
2020-07-08,299.8,296.8,299.8,292.21,9.05M,0.94%
2020-07-07,297,292,297.5,290,12.27M,0.68%
2020-07-06,295,290,298.79,290,7.68M,2.39%
2020-07-03,288.1,287,290,285,2.49M,0.38%
2020-07-02,287,286.9,287,282.86,12.17M,0.00%
2020-07-01,287,278.2,287,272,12.73M,3.16%
2020-06-30,278.2,276.1,281.75,271,8.53M,1.16%
2020-06-26,275,280.59,280.59,275,4.39M,-1.99%
2020-06-25,280.59,271.59,280.59,268.4,5.18M,3.16%
2020-06-24,272,271.99,272,267.1,6.51M,0.00%
2020-06-23,271.99,269.67,272,263.21,4.54M,1.87%
2020-06-22,267,266.1,271.5,266.1,1.98M,0.38%
2020-06-19,266,268,270,265,13.63M,0.00%
2020-06-18,266.01,272,274,265.56,10.61M,-1.55%
2020-06-17,270.2,277,279.95,270.2,10.83M,-2.45%
2020-06-16,277,275,279.26,271.68,2.85M,1.35%
2020-06-15,273.3,273.6,276,270.1,2.43M,-0.79%
2020-06-12,275.49,280,280.7,272,16.39M,-1.61%
2020-06-11,280,275,280,269,14.12M,0.00%
2020-06-10,280,290,296,280,7.20M,-3.45%
2020-06-09,290,276.97,304.99,273.98,16.28M,4.73%
2020-06-08,276.9,275.99,278,275.99,3.68M,0.68%
2020-06-05,275.04,269,277.99,269,7.23M,2.63%
2020-06-04,268,260,268,257.6,7.25M,3.08%
2020-06-03,260,255,260,254.5,7.22M,3.83%
2020-06-02,250.4,247,253.97,245,8.01M,3.05%
2020-06-01,243,238,246.86,238,7.19M,3.36%
2020-05-29,235.1,249.49,249.49,232.69,50.20M,-2.55%
2020-05-28,241.25,251.5,251.5,240.25,14.75M,-4.19%
2020-05-27,251.8,254,254.49,246.02,15.65M,0.72%
2020-05-26,250,254.99,256,245.6,24.70M,-0.73%
2020-05-25,251.85,251.59,255,250.16,13.30M,0.30%
2020-05-22,251.1,255.6,255.6,245.52,5.88M,-1.76%
2020-05-20,255.6,250,255.6,250,6.41M,1.83%
2020-05-19,251,254.9,254.9,250,3.91M,-1.53%
2020-05-18,254.9,246.48,255,246.48,3.05M,5.10%
2020-05-15,242.53,247,252.3,238,20.41M,-1.81%
2020-05-14,247,245,255.61,245,22.89M,0.82%
2020-05-13,245,253,255,240.01,8.60M,-3.92%
2020-05-12,255,263,267.9,255,13.00M,-3.04%
2020-05-11,263,265.22,269.77,256.1,4.71M,-0.84%
2020-05-08,265.22,276.6,281.46,265.22,4.99M,-3.56%
2020-05-07,275.01,282.77,282.77,275.01,16.48M,-2.32%
2020-05-06,281.54,280,282.99,278,4.21M,0.02%
2020-05-05,281.48,278,282.94,278,5.33M,1.50%
2020-05-04,277.31,273,279.5,267.63,5.74M,-0.96%
2020-04-30,280,280,280.03,272.51,10.30M,0.00%
2020-04-29,280,274,284,267,18.50M,2.08%
2020-04-28,274.3,265,278,261.08,14.83M,5.10%
2020-04-27,261,252,262.18,252,4.78M,4.40%
2020-04-24,250,262,262,250,10.02M,-3.84%
2020-04-23,259.99,253,259.99,250.6,17.62M,4.41%
2020-04-22,249,252.22,255.1,247.01,8.66M,-0.84%
2020-04-21,251.1,258.89,258.89,245,5.15M,-3.42%
2020-04-20,259.98,260,260,255.15,21.91M,-0.01%
2020-04-17,260,270,270,258.99,4.35M,0.78%
2020-04-16,258,263,263,256.99,4.62M,-1.53%
2020-04-15,262,260,266,259.1,3.48M,1.12%
2020-04-14,259.1,260,279.03,256.07,7.54M,1.41%
2020-04-13,255.5,250.1,258,250.1,15.00M,2.61%
2020-04-09,249,251,251,240,18.34M,-1.11%
2020-04-08,251.8,255.67,258.93,250,26.51M,-2.03%
2020-04-07,257.02,260.14,260.14,255.17,18.57M,0.79%
2020-04-06,255,260,263,245,10.66M,-0.04%
2020-04-03,255.1,264,265,252.2,16.05M,-2.90%
2020-04-02,262.72,250,262.72,250,18.60M,5.30%
2020-04-01,249.5,245,249.5,239.1,3.71M,-0.99%
2020-03-31,252,238,254.49,238,20.13M,6.33%
2020-03-30,237,230.01,237.52,225.03,12.72M,3.04%
2020-03-27,230.01,228,236.5,223.01,6.41M,-0.22%
2020-03-26,230.51,218.5,236.49,216.01,21.34M,4.78%
2020-03-25,220,209.93,224,209.93,37.87M,6.74%
2020-03-24,206.1,216.99,217,204,50.04M,1.98%
2020-03-23,202.1,222,222,202.01,7.42M,-8.96%
2020-03-20,222,235,240,213,29.59M,-3.52%
2020-03-19,230.1,222.6,245,222.6,4.35M,3.37%
2020-03-18,222.6,226.35,226.35,208,10.35M,-3.63%
2020-03-17,230.99,198,230.99,198,10.79M,18.46%
2020-03-16,195,225,225,195,7.00M,-17.02%
2020-03-13,235,237.02,246,233.21,15.45M,0.86%
2020-03-12,233,254,254,233,9.67M,-8.34%
2020-03-11,254.2,258,259.99,253,10.40M,-1.47%
2020-03-10,258,267,274.93,256.55,17.08M,-0.38%
2020-03-09,258.99,267,267,250.5,14.03M,-3.00%
2020-03-06,267,265,268.81,265,3.32M,-0.74%
2020-03-05,269,274,274,267.2,7.37M,-1.14%
2020-03-04,272.1,272,273.99,270,35.76M,0.78%
2020-03-03,270,272,278,268,15.13M,-0.37%
2020-03-02,271,282.81,282.81,271,9.19M,-3.22%
2020-02-28,280.01,275,286.65,263.1,22.59M,0.65%
2020-02-27,278.2,283.9,284,275,3.20M,-2.10%
2020-02-26,284.16,287,290,281.12,5.34M,-0.98%
2020-02-25,286.98,291,295.01,285.01,9.71M,-1.04%
2020-02-24,290.01,296,296,288.01,2.54M,-2.02%
2020-02-21,296,303.99,304,296,6.34M,-2.47%
2020-02-20,303.5,305.99,306,301.02,3.75M,-0.82%
2020-02-19,306,308,308,300,7.36M,0.29%
2020-02-18,305.12,304.89,306,301,1.26M,0.04%
