Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,31600,33200,33200,31600,40.95K,-3.73%
2021-02-22,32825,33499,33499,32807,48.12K,-2.01%
2021-02-19,33499,32752,33950,32752,69.08K,1.51%
2021-02-18,33000,33780,33780,32700,90.53K,-2.51%
2021-02-17,33850,34000,34000,32701,78.30K,-0.41%
2021-02-16,33990,33210,34000,33210,63.27K,2.35%
2021-02-15,33210,32480,33330,32101,54.36K,2.25%
2021-02-12,32480,32041,32480,31600,51.95K,1.37%
2021-02-11,32041,31094,32500,31000,92.74K,3.05%
2021-02-10,31094,31100,31400,30600,73.20K,-0.01%
2021-02-09,31098,31065,31400,30551,80.78K,-0.90%
2021-02-08,31379,31284,31610,31000,81.10K,-0.70%
2021-02-05,31600,31095,31600,31095,47.17K,1.62%
2021-02-04,31096,30800,31300,30702,29.53K,-0.01%
2021-02-03,31100,31400,31400,30789,70.18K,0.32%
2021-02-02,31000,31050,31700,31000,59.32K,0.00%
2021-02-01,31001,30896,32229,30896,72.77K,0.65%
2021-01-29,30800,32300,32300,30800,211.63K,-5.78%
2021-01-28,32690,32200,32700,31648,129.58K,1.27%
2021-01-27,32280,32300,32300,31005,64.77K,-0.09%
2021-01-26,32310,31887,32310,31582,38.70K,1.32%
2021-01-25,31888,30700,31888,30700,73.34K,4.21%
2021-01-22,30600,31750,31750,30600,42.63K,-3.92%
2021-01-21,31850,32500,33188,31850,56.94K,-1.88%
2021-01-20,32460,32165,32899,31805,97.45K,0.92%
2021-01-19,32165,32100,32900,32001,68.30K,1.15%
2021-01-18,31800,32350,32511,31101,50.94K,-2.15%
2021-01-15,32500,33000,33192,32400,80.62K,-2.08%
2021-01-14,33190,32750,33300,32500,122.15K,1.34%
2021-01-13,32750,31649,32750,31649,148.41K,3.48%
2021-01-12,31650,31393,31731,31000,88.81K,0.82%
2021-01-11,31393,30800,31393,30027,56.78K,1.27%
2021-01-08,31000,31149,31400,30123,55.33K,-0.45%
2021-01-07,31140,29851,31200,29851,220.72K,4.35%
2021-01-06,29842,30449,30750,29842,94.74K,-2.13%
2021-01-05,30490,28850,30500,28510,143.01K,5.68%
2021-01-04,28850,27888,28850,27701,113.23K,3.44%
2020-12-31,27890,27890,27890,27890,-,0.00%
2020-12-30,27890,27540,27890,27270,67.58K,1.97%
2020-12-29,27350,27725,27900,27200,25.15K,-1.26%
2020-12-28,27700,27700,28000,27700,22.51K,0.00%
2020-12-24,27699,27300,27718,27300,26.47K,2.17%
