Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,40.5,41.4,41.48,40.5,79.39M,-2.01%
2021-02-22,41.33,42.87,42.87,41.33,224.75M,-3.61%
2021-02-19,42.88,42.55,43.12,42.02,92.73M,0.78%
2021-02-18,42.55,42.5,42.93,42.01,132.42M,-1.05%
2021-02-17,43,42.89,43.5,42.5,307.71M,0.23%
2021-02-16,42.9,42,43,41.63,348.49M,2.14%
2021-02-15,42,40.7,42,40.5,85.47M,3.19%
2021-02-12,40.7,40.79,41.09,40.15,154.36M,0.05%
2021-02-11,40.68,39,41,39,226.87M,2.99%
2021-02-10,39.5,39.89,39.89,38.78,68.45M,-0.73%
2021-02-09,39.79,38.68,39.79,38,149.58M,2.87%
2021-02-08,38.68,38.87,38.87,38.21,68.78M,0.49%
2021-02-05,38.49,38.8,39.13,38.2,68.35M,0.63%
2021-02-04,38.25,38.71,38.95,37.65,75.06M,-1.16%
2021-02-03,38.7,39.14,39.36,38.5,53.63M,-0.13%
2021-02-02,38.75,38.5,39.29,38.5,135.07M,1.36%
2021-02-01,38.23,38.25,38.5,37.6,84.67M,2.77%
2021-01-29,37.2,38.65,38.65,37.2,324.51M,-3.75%
2021-01-28,38.65,37.67,38.8,37.23,169.09M,2.06%
2021-01-27,37.87,38.36,38.36,36.86,80.28M,-0.29%
2021-01-26,37.98,37.9,39,37.76,68.13M,0.74%
2021-01-25,37.7,38,38.89,37.7,122.00M,-0.79%
2021-01-22,38,38.99,38.99,38,152.79M,-2.81%
2021-01-21,39.1,39.88,40.16,39.1,93.83M,-1.46%
2021-01-20,39.68,40.64,40.98,39.55,160.52M,-2.36%
2021-01-19,40.64,40.01,41.7,40,207.29M,1.63%
2021-01-18,39.99,39.43,39.99,39.2,43.78M,1.42%
2021-01-15,39.43,39.94,40.34,39.43,88.01M,-2.30%
2021-01-14,40.36,39.95,40.49,39.85,94.27M,0.10%
2021-01-13,40.32,40,40.5,39.51,215.54M,1.61%
2021-01-12,39.68,39.36,40,39.3,119.87M,0.81%
2021-01-11,39.36,39.4,39.47,38.7,119.28M,-1.06%
2021-01-08,39.78,38.21,39.78,38.21,221.27M,3.35%
2021-01-07,38.49,36.5,38.49,36.49,232.83M,6.56%
2021-01-06,36.12,36.2,36.64,35.74,149.16M,-0.28%
2021-01-05,36.22,35.21,36.5,35.2,196.85M,2.03%
2021-01-04,35.5,34.38,35.5,34.38,233.74M,4.11%
2020-12-31,34.1,34.1,34.1,34.1,-,0.00%
2020-12-30,34.1,34.75,35,34.1,98.67M,-1.45%
2020-12-29,34.6,34.2,34.87,34.2,138.80M,0.23%
2020-12-28,34.52,35,35.76,34.52,71.93M,0.03%
2020-12-24,34.51,34.91,35.19,33.9,19.98M,-0.14%
2020-12-23,34.56,35.51,35.9,34.56,76.00M,-2.32%
2020-12-22,35.38,35.45,36.03,35.15,144.30M,-0.20%
2020-12-21,35.45,35.61,35.61,35.09,117.49M,-2.21%
2020-12-18,36.25,36.1,36.3,35.2,274.41M,0.86%
2020-12-17,35.94,35,35.94,34.8,87.92M,3.34%
2020-12-16,34.78,34.48,34.89,34.14,220.06M,0.87%
2020-12-15,34.48,35,35.47,34.2,98.09M,-1.49%
2020-12-14,35,34.74,35.6,34.74,305.96M,1.13%
2020-12-11,34.61,35.3,35.49,34.49,169.34M,-2.23%
2020-12-10,35.4,35.49,35.8,35,230.01M,-0.25%
2020-12-09,35.49,35,35.67,34.74,201.99M,2.10%
2020-12-07,34.76,35.37,35.39,34.23,127.56M,-1.72%
2020-12-04,35.37,35.68,35.79,35.1,90.11M,-0.92%
2020-12-03,35.7,35.3,35.75,34.81,122.09M,1.28%
2020-12-02,35.25,34.4,35.25,33.7,189.41M,2.68%
2020-12-01,34.33,33.5,34.5,33.5,327.28M,3.72%
2020-11-30,33.1,33.99,34,33.1,435.26M,-1.16%
2020-11-27,33.49,33.68,34.2,33.21,83.18M,-0.56%
2020-11-26,33.68,33.86,34.36,33.1,43.28M,-1.52%
2020-11-25,34.2,34.87,34.87,33.98,83.44M,-0.90%
2020-11-24,34.51,34.25,35.01,34.25,125.23M,0.85%
2020-11-23,34.22,33.5,34.3,33.45,222.45M,-0.55%
2020-11-20,34.41,34.49,34.71,33.95,137.56M,1.24%
2020-11-19,33.99,34.15,34.4,33.83,112.63M,-2.05%
2020-11-18,34.7,34.56,34.76,33.51,111.90M,0.41%
2020-11-17,34.56,34.16,34.75,33.45,303.63M,0.17%
2020-11-16,34.5,34.5,35.35,34.5,232.85M,0.17%
2020-11-13,34.44,33.55,34.59,33.2,287.09M,2.99%
2020-11-12,33.44,32.7,33.58,32.36,268.07M,2.01%
2020-11-11,32.78,32.4,33.25,32.35,356.48M,0.74%
2020-11-10,32.54,31.6,32.69,31,254.53M,3.80%
2020-11-09,31.35,31.16,32.25,31.16,283.60M,2.75%
2020-11-06,30.51,28.78,30.51,28.32,226.21M,5.39%
2020-11-05,28.95,26.71,28.95,26.31,328.53M,8.75%
2020-11-04,26.62,27.56,28,26.58,448.80M,-3.38%
2020-11-03,27.55,27.96,28.3,27.21,224.95M,-0.54%
2020-11-02,27.7,27.3,28,27.3,250.65M,2.33%
2020-10-30,27.07,27.65,28.24,27.07,240.43M,-2.84%
2020-10-29,27.86,29,29.02,27.86,152.81M,-4.00%
2020-10-28,29.02,29.7,29.7,28.86,179.48M,-2.45%
2020-10-27,29.75,29.61,30.2,29.57,107.30M,0.47%
2020-10-26,29.61,29.99,30.45,29.5,153.91M,-3.42%
2020-10-23,30.66,29.8,30.75,29.72,118.57M,2.85%
2020-10-22,29.81,29.49,30.1,29.3,373.17M,1.57%
2020-10-21,29.35,27.99,29.35,27.9,160.37M,5.20%
2020-10-20,27.9,27.53,28,27.38,170.85M,1.45%
2020-10-19,27.5,27.86,28.19,27.5,84.68M,-0.94%
2020-10-16,27.76,28,28.2,27.67,90.10M,-2.60%
2020-10-15,28.5,27.1,28.5,26.93,252.81M,5.17%
2020-10-14,27.1,27.1,27.42,27.09,187.86M,0.00%
2020-10-13,27.1,27.7,27.8,26.8,135.13M,-1.38%
2020-10-09,27.48,27.1,27.81,27.1,226.12M,1.74%
2020-10-08,27.01,27.36,27.52,26.87,376.50M,-0.70%
2020-10-07,27.2,27.85,28,27,104.95M,-2.33%
2020-10-06,27.85,29,29,27.5,204.88M,-3.93%
2020-10-05,28.99,28.31,29.16,28.02,224.47M,2.44%
2020-10-02,28.3,27.11,28.4,27,208.95M,3.78%
2020-10-01,27.27,27.4,27.97,27.06,256.69M,-0.11%
2020-09-30,27.3,26.78,27.44,26.78,277.10M,1.94%
2020-09-29,26.78,26.99,26.99,26.37,145.97M,-1.65%
2020-09-28,27.23,27.46,27.9,27.13,63.20M,0.00%
2020-09-25,27.23,27.59,27.65,27.05,344.39M,-1.63%
2020-09-24,27.68,27,28.06,26.7,225.59M,3.05%
2020-09-23,26.86,27.82,27.9,26.48,216.12M,-3.10%
2020-09-22,27.72,27.97,28.27,27.5,141.31M,0.11%
2020-09-21,27.69,27.7,27.73,27.03,298.21M,-2.57%
2020-09-17,28.42,28.28,28.42,27.95,320.66M,0.11%
2020-09-16,28.39,28.35,28.59,28.05,165.93M,0.14%
2020-09-15,28.35,28.64,28.75,28.05,153.26M,0.00%
2020-09-14,28.35,28.63,28.8,28.05,115.29M,-0.53%
2020-09-11,28.5,29.69,29.69,27.95,522.49M,-1.72%
2020-09-10,29,29.83,29.85,28.71,145.67M,-2.82%
2020-09-09,29.84,30.43,30.75,29.78,164.50M,-1.97%
2020-09-08,30.44,30.95,30.95,30.32,27.29M,-1.65%
2020-09-07,30.95,31.17,31.17,30.71,28.02M,1.08%
2020-09-04,30.62,31.16,31.36,30.41,43.81M,-1.23%
2020-09-03,31,29.91,31.11,29.91,118.62M,4.38%
2020-09-02,29.7,30.45,30.45,29.58,118.62M,-0.44%
2020-09-01,29.83,30.46,30.46,29.5,138.57M,-0.23%
2020-08-31,29.9,30.79,30.79,29.9,323.52M,-2.00%
2020-08-28,30.51,30.5,30.97,30.41,87.77M,0.03%
2020-08-27,30.5,31.15,31.15,30.11,245.48M,-0.81%
2020-08-26,30.75,31.49,31.49,30.63,86.50M,-1.60%
2020-08-25,31.25,31.7,31.7,31.08,230.61M,-0.86%
2020-08-24,31.52,32,32.01,31.51,62.13M,-1.01%
2020-08-21,31.84,32,32.2,31.76,86.98M,-0.25%
2020-08-20,31.92,31.99,31.99,31.7,36.91M,-0.25%
2020-08-19,32,33,33,32,152.34M,-2.74%
