Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,10335,10280,10490,10210,230.34K,-0.62%
2021-02-22,10399,10198,10490,10180,488.25K,0.94%
2021-02-19,10302,9750,10302,9750,345.82K,5.88%
2021-02-18,9730,9700,9770,9680,331.47K,0.52%
2021-02-17,9679.8,9551,9700,9551,430.03K,1.96%
2021-02-16,9494,9500,9720,9490,151.01K,0.12%
2021-02-15,9483,9600,9600,9350,169.30K,-1.21%
2021-02-12,9599,9690,9770,9561,204.13K,-1.85%
2021-02-11,9780,9850,9898,9760.1,138.98K,-0.71%
2021-02-10,9850,9850,9850,9702,162.17K,0.22%
2021-02-09,9828,9800,9849,9745,297.72K,1.01%
2021-02-08,9730,9500,9799.9,9500,164.77K,2.76%
2021-02-05,9469,9255,9469,9255,263.27K,2.31%
2021-02-04,9255,9097,9300,9025,167.26K,1.74%
2021-02-03,9097.1,8830,9100,8750,404.54K,3.14%
2021-02-02,8820,8868,9100.2,8700,690.74K,-4.13%
2021-02-01,9200,9500,9500.1,9101.1,153.88K,-1.60%
2021-01-29,9350,9790,9790,9205.2,392.23K,-0.43%
2021-01-28,9390,9350,9440,9100,245.34K,-0.95%
2021-01-27,9480,9644,9660.1,9445,271.51K,-1.70%
2021-01-26,9644,9656,9870,9644,388.22K,0.98%
2021-01-25,9550,9625,9790,9525.1,159.37K,-0.78%
2021-01-22,9625,9645,9695.1,9511,274.09K,-0.77%
2021-01-21,9700,9800,9870,9658,244.71K,-1.01%
2021-01-20,9799,9602,9799,9602,193.70K,1.03%
2021-01-19,9699,9518.9,9699,9431.4,382.30K,2.32%
2021-01-18,9479,9250,9498,9250,139.99K,2.25%
2021-01-15,9270,9479,9479.1,9215,304.21K,-1.93%
2021-01-14,9452.2,9450,9549.9,9349.9,677.06K,0.56%
2021-01-13,9399.9,9192,9420,9000,341.68K,2.23%
2021-01-12,9194.9,9350,9350,9010,798.52K,-1.12%
2021-01-11,9299,9470,9470,9250,573.12K,-1.81%
2021-01-08,9470.8,9500,9649,9201,615.06K,-0.31%
2021-01-07,9500,9370,9544.9,9305,747.35K,1.77%
