Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,5800,6199,6199,5800,254.21K,-2.52%
2021-02-22,5950,6100,6100,5950,229.46K,-2.36%
2021-02-19,6093.9,6000,6134.8,5930,193.53K,-0.10%
2021-02-18,6100.1,6200,6200,5850,304.00K,-1.29%
2021-02-17,6180,6310,6310,6119.7,292.86K,-2.04%
2021-02-16,6309,6331,6398.9,6200,153.91K,-0.35%
2021-02-15,6331,6499,6499,6300.1,171.14K,-2.59%
2021-02-12,6499,6451.1,6499,6330,223.97K,0.76%
2021-02-11,6450,6693.5,6695,6326.9,414.41K,-4.00%
2021-02-10,6719,6553.8,6764.9,6553,129.64K,1.50%
2021-02-09,6620,6500,6630.1,6420.3,236.42K,1.22%
2021-02-08,6540,6312,6540,6312,319.44K,3.68%
2021-02-05,6308,6415,6450,6306,231.48K,-1.07%
2021-02-04,6376,6330,6399,6270,226.79K,1.19%
2021-02-03,6301.1,6370,6404.6,6210,168.50K,-1.31%
2021-02-02,6385,6140,6385,6140,288.97K,2.98%
2021-02-01,6200,6020,6218.9,5950,294.08K,2.99%
2021-01-29,6020,6095.4,6095.4,5974.9,841.51K,-0.25%
2021-01-28,6035,6061,6100,5920,422.34K,-0.12%
2021-01-27,6042,6097.7,6099,6030,389.29K,-0.92%
2021-01-26,6097.8,6018.7,6097.8,5958.7,465.22K,1.31%
2021-01-25,6018.7,5935,6099,5935,579.01K,1.41%
2021-01-22,5935,5980,6000,5865,515.41K,0.22%
2021-01-21,5922,6100,6190,5920,203.21K,-2.90%
2021-01-20,6099,6100,6199,5920,243.38K,-0.02%
2021-01-19,6100,6115,6168.3,6000,456.76K,-0.25%
2021-01-18,6115,5930,6140,5900,90.26K,1.92%
2021-01-15,6000,5900,6030.6,5850,214.66K,0.00%
2021-01-14,6000,6047.9,6131.8,5950,348.56K,-1.62%
2021-01-13,6099,5845,6099,5800,406.83K,5.35%
2021-01-12,5789,5639,5789,5639,472.18K,2.66%
2021-01-11,5639,5500,5650,5477,239.89K,2.53%
2021-01-08,5500,5600,5600,5436,274.85K,-0.45%
2021-01-07,5525,5509,5620,5440,167.60K,1.19%
2021-01-06,5460,5340,5490,5320,182.29K,2.17%
2021-01-05,5344,5273.9,5350,5240.1,184.30K,1.33%
2021-01-04,5274,5299.5,5299.5,5161.4,354.31K,0.51%
2020-12-31,5247,5247,5247,5247,-,0.00%
2020-12-30,5247,5290,5380,5200,200.58K,-1.19%
2020-12-29,5310,5290,5390,5290,59.45K,-0.62%
2020-12-28,5343.2,5323.1,5357.8,5275,72.70K,0.38%
2020-12-24,5323.1,5450,5450,5255,60.79K,-1.31%
2020-12-23,5394,5389.05,5394,5196.06,150.22K,-0.94%
2020-12-22,5445.1,5494,5570,5427,114.17K,-0.89%
2020-12-21,5494,5656,5656,5432.6,237.71K,-2.86%
2020-12-18,5656,5547.4,5656,5547.4,447.47K,1.96%
2020-12-17,5547.4,5700,5750,5500.1,173.70K,-1.08%
2020-12-16,5608,5517.1,5608,5495.1,116.92K,2.15%
2020-12-15,5490,5500,5598.1,5400,118.93K,-0.18%
2020-12-14,5500,5650,5790,5453.9,218.63K,-2.31%
2020-12-11,5630,5616,5658,5550,129.24K,0.25%
2020-12-10,5616,5635,5699.9,5616,148.06K,-0.27%
2020-12-09,5631,5659,5751.6,5631,154.30K,-0.52%
2020-12-07,5660.2,5898.9,5898.9,5660.2,433.84K,-2.43%
2020-12-04,5801,5819,5870,5695.5,234.37K,-0.41%
2020-12-03,5825,5681.3,5825,5651,326.43K,3.56%
2020-12-02,5625,5752.1,5789.9,5625,258.81K,-2.21%
