Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,1380,1380,1385,1350,4.71M,0.73%
2021-02-22,1370,1400,1414,1370,1.75M,-2.14%
2021-02-19,1400,1368,1420,1368,2.38M,2.49%
2021-02-18,1366,1365,1397,1360,2.61M,0.07%
2021-02-17,1365,1400,1410,1324,3.41M,-2.50%
2021-02-16,1400,1392,1423,1378,2.89M,0.61%
2021-02-15,1391.5,1376.4,1415,1376.4,2.58M,0.11%
2021-02-12,1390,1379,1398,1374,1.75M,1.39%
2021-02-11,1371,1350,1393,1342,5.79M,1.56%
2021-02-10,1350,1369.9,1369.9,1342,2.90M,-1.45%
2021-02-09,1369.9,1319,1369.9,1310,5.28M,3.86%
2021-02-08,1319,1318.2,1337,1310,5.68M,1.07%
2021-02-05,1305.1,1345,1345,1303,2.06M,-1.50%
2021-02-04,1325,1319.9,1343,1319.9,4.67M,0.38%
2021-02-03,1320,1345,1358,1310.1,3.85M,-1.35%
2021-02-02,1338,1297.8,1339.9,1295,5.31M,3.64%
2021-02-01,1291,1295,1319.7,1250,9.64M,1.24%
2021-01-29,1275.2,1328,1349.9,1274.8,6.41M,-3.03%
2021-01-28,1315,1326,1326,1300,9.07M,-0.83%
2021-01-27,1326,1359.9,1359.9,1320,4.35M,-2.57%
2021-01-26,1361,1380,1395,1352,3.86M,-0.66%
2021-01-25,1370,1399.9,1400,1360,2.17M,-0.99%
2021-01-22,1383.7,1415,1415,1376,6.44M,-2.35%
2021-01-21,1417,1440,1455,1415,6.06M,-1.87%
2021-01-20,1444,1458.8,1458.8,1427.2,4.65M,-1.10%
2021-01-19,1460,1490.6,1520,1450,10.37M,-1.62%
2021-01-18,1484,1440,1484.9,1400,3.31M,3.06%
2021-01-15,1440,1487,1487,1440,2.02M,-1.84%
2021-01-14,1467,1434,1475,1434,2.93M,2.37%
2021-01-13,1433,1438,1439.9,1413.9,4.22M,-0.48%
2021-01-12,1439.9,1439.9,1474,1407.6,6.46M,-0.70%
2021-01-11,1450,1408,1450,1374,4.04M,2.84%
2021-01-08,1410,1386.1,1410,1350,8.35M,2.55%
2021-01-07,1374.9,1348,1375,1348,8.06M,2.60%
2021-01-06,1340,1335,1348.8,1320.5,7.84M,1.13%
2021-01-05,1325,1286,1330,1273.1,5.74M,3.03%
2021-01-04,1286,1275,1305,1274.9,2.57M,1.66%
2020-12-31,1265,1265,1265,1265,-,0.00%
2020-12-30,1265,1279,1299.9,1251,3.20M,-1.02%
2020-12-29,1278,1250,1284.9,1250,9.42M,2.32%
2020-12-28,1249,1254.8,1269.9,1240.1,5.00M,0.24%
2020-12-24,1246,1282,1282,1225.2,1.74M,-1.88%
2020-12-23,1269.9,1280.1,1288,1250.2,4.46M,-0.48%
2020-12-22,1276,1260.1,1295,1260.1,5.77M,1.35%
2020-12-21,1259,1260,1260,1230,6.41M,-1.64%
2020-12-18,1280,1285,1310,1265.2,5.88M,-0.39%
2020-12-17,1285,1280,1305,1257,14.39M,0.78%
2020-12-16,1275,1260,1290,1250.1,4.01M,2.08%
2020-12-15,1249,1260,1281,1240,4.55M,-0.72%
2020-12-14,1258,1270,1285.1,1258,4.06M,-1.33%
2020-12-11,1275,1296,1315,1265,4.02M,-1.54%
2020-12-10,1295,1330,1355,1283,6.49M,-2.63%
2020-12-09,1330,1319.9,1350,1314.9,8.68M,0.76%
2020-12-07,1320,1350,1370,1306.6,4.12M,-2.22%
2020-12-04,1350,1380.1,1385,1350,5.57M,-1.82%
2020-12-03,1375,1321,1375,1321,6.93M,3.38%
2020-12-02,1330,1315,1336.9,1310,4.92M,1.14%
2020-12-01,1315,1331,1340,1310,6.65M,-0.13%
2020-11-30,1316.7,1400,1400,1316,10.64M,-3.82%
2020-11-27,1369,1325.7,1450,1310,8.04M,2.24%
2020-11-26,1339,1353.4,1353.4,1315,1.37M,-0.07%
2020-11-25,1340,1346.3,1379,1333,10.95M,-1.47%
2020-11-24,1360,1380.1,1390,1345,14.05M,-0.37%
2020-11-23,1365.1,1335,1369,1335,9.76M,2.64%
2020-11-20,1330,1305,1366,1290,10.27M,1.53%
2020-11-19,1310,1348,1364,1302,10.98M,-3.68%
2020-11-18,1360,1350,1360,1325.3,10.85M,1.49%
2020-11-17,1340,1344.9,1348.1,1292,13.35M,-0.37%
2020-11-16,1345,1306,1349,1305,17.48M,3.62%
2020-11-13,1298,1290,1322.1,1271.2,13.09M,2.20%
2020-11-12,1270,1265,1270,1235.1,12.54M,1.60%
2020-11-11,1250,1205,1250,1200,10.83M,3.31%
2020-11-10,1210,1194.4,1210,1162,11.68M,2.11%
2020-11-09,1185,1178.1,1225,1178.1,8.92M,3.49%
2020-11-06,1145,1130,1148.2,1091,3.18M,3.25%
2020-11-05,1109,1050,1110,1026,4.40M,6.33%
2020-11-04,1043,1041.3,1049.9,1010.1,2.73M,0.16%
2020-11-03,1041.3,1094.8,1094.8,1025,6.27M,-3.13%
2020-11-02,1075,1080.1,1088.9,1060.1,4.61M,0.00%
2020-10-30,1075,1103,1106,1066.5,4.15M,-2.54%
2020-10-29,1103,1121,1128,1100,3.95M,-1.08%
2020-10-28,1115,1100,1120,1080,8.38M,0.45%
2020-10-27,1110,1140,1159,1106.4,5.22M,-2.63%
2020-10-26,1140,1079,1150.1,1079,10.58M,3.26%
2020-10-23,1104,1130,1137,1104,6.25M,-1.68%
2020-10-22,1122.9,1120,1132.9,1115,11.80M,-0.10%
2020-10-21,1124,1115,1130,1112.1,5.16M,0.81%
2020-10-20,1115,1115,1124.5,1105,7.57M,0.36%
2020-10-19,1111,1117,1135.1,1111,2.16M,-0.54%
2020-10-16,1117,1117.4,1144.9,1104.5,5.68M,-0.27%
2020-10-15,1120,1135.9,1158.8,1106,10.42M,-1.58%
2020-10-14,1138,1123.9,1138,1111.2,2.60M,1.25%
2020-10-13,1124,1114,1124,1091.5,3.33M,0.90%
2020-10-09,1114,1094.1,1117,1090,7.51M,1.84%
2020-10-08,1093.9,1107,1119,1081.1,3.84M,-1.18%
2020-10-07,1107,1128.5,1134,1103.1,5.68M,-1.91%
2020-10-06,1128.5,1125,1139,1095,14.91M,0.32%
2020-10-05,1124.9,1153.1,1153.2,1121.2,7.91M,-2.44%
2020-10-02,1153,1145,1159.9,1140,6.79M,-0.03%
2020-10-01,1153.3,1151.5,1161,1147.6,5.03M,0.29%
2020-09-30,1150,1150,1185.2,1135,6.04M,0.00%
2020-09-29,1150,1163,1163,1119.2,6.07M,-1.10%
2020-09-28,1162.8,1182,1200,1150.1,3.33M,-1.45%
2020-09-25,1179.9,1170,1179.9,1151,1.70M,0.85%
2020-09-24,1170,1150,1179,1135,4.73M,3.54%
2020-09-23,1130,1160,1160,1100,2.63M,-2.02%
2020-09-22,1153.3,1135,1178.9,1135,1.85M,1.97%
2020-09-21,1131,1140,1154.6,1130,5.72M,-2.15%
2020-09-17,1155.8,1179.9,1180,1145.1,5.87M,-2.46%
2020-09-16,1185,1175,1189,1140.9,2.77M,1.72%
2020-09-15,1165,1197.8,1215,1160.1,5.83M,-2.10%
2020-09-14,1190,1171,1198,1154,2.13M,3.39%
2020-09-11,1151,1170,1185,1150.1,1.21M,-2.04%
2020-09-10,1175,1185,1195,1160.1,3.81M,-1.67%
2020-09-09,1195,1226.9,1226.9,1194.4,3.69M,-2.77%
2020-09-08,1229,1217,1229,1191,4.30M,0.74%
2020-09-07,1220,1220,1227.7,1214.9,526.95K,0.66%
2020-09-04,1212,1248,1248,1205,2.52M,-1.78%
2020-09-03,1234,1236,1254,1201.7,3.93M,0.33%
2020-09-02,1230,1152,1244,1149.2,6.56M,6.96%
2020-09-01,1150,1185,1185,1131,9.07M,0.00%
2020-08-31,1150,1231.5,1231.5,1150,13.36M,-6.16%
2020-08-28,1225.5,1270.2,1295.9,1224.1,9.46M,-2.74%
2020-08-27,1260,1244,1260,1230,3.75M,1.45%
2020-08-26,1242,1251,1251.1,1210,3.72M,-1.04%
2020-08-25,1255,1291,1307,1240,5.19M,-2.71%
2020-08-24,1289.9,1299,1309.9,1270,3.79M,0.30%
2020-08-21,1286,1285,1290,1259.7,5.49M,0.08%
2020-08-20,1285,1289.2,1299,1262,6.16M,-0.55%
2020-08-19,1292.1,1312,1320,1290,2.17M,-1.13%
2020-08-18,1306.9,1359.8,1359.8,1300,4.18M,-2.47%
2020-08-17,1340,1366.1,1367.9,1320.1,2.92M,-0.85%
2020-08-14,1351.5,1340,1375,1340,4.58M,0.86%
2020-08-13,1340,1310.1,1354.9,1301,9.57M,2.49%
2020-08-12,1307.4,1315.1,1324,1302,7.94M,1.04%
2020-08-11,1294,1250.3,1319,1250.3,8.68M,3.94%
2020-08-10,1245,1304,1304,1245,4.21M,-2.20%
2020-08-07,1273,1276.1,1290,1265,3.95M,-0.16%
2020-08-06,1275,1268.6,1289.4,1260,2.83M,0.01%
2020-08-05,1274.9,1293.9,1293.9,1231.4,10.07M,1.18%
2020-08-04,1260,1283.8,1319.9,1245.1,5.57M,-0.79%
2020-08-03,1270,1320,1340,1270,4.46M,-3.71%
2020-07-31,1319,1290,1319,1268,6.54M,2.25%
2020-07-30,1290,1279.9,1305,1240,5.69M,0.00%
2020-07-29,1290,1296,1296,1256.2,4.56M,-0.77%
2020-07-28,1300,1293,1345,1293,5.52M,0.78%
2020-07-27,1290,1280,1290,1253,4.50M,3.61%
2020-07-24,1245,1200,1249,1192,9.17M,3.66%
2020-07-23,1201,1215,1235,1193.1,18.66M,-1.15%
2020-07-22,1215,1175.3,1229.9,1160.1,9.50M,3.40%
2020-07-21,1175.1,1228,1230,1175.1,7.52M,-4.31%
2020-07-20,1228,1248,1264.9,1210,2.85M,-2.54%
2020-07-17,1260,1250,1298.9,1226,2.57M,-2.10%
2020-07-15,1287,1359,1380,1285.1,17.22M,-3.31%
2020-07-14,1331,1275,1348.9,1240,6.66M,5.22%
2020-07-13,1265,1202,1285,1202,8.99M,5.42%
2020-07-10,1200,1219.9,1231.7,1181,3.14M,-1.72%
2020-07-09,1221,1229.9,1259,1200,2.49M,-3.72%
2020-07-08,1268.2,1293,1320,1230.1,2.55M,-1.84%
2020-07-07,1292,1280,1300.1,1235,3.21M,0.54%
2020-07-06,1285,1326,1358.9,1285,6.80M,-0.46%
2020-07-03,1291,1270,1319.1,1265,3.18M,1.65%
2020-07-02,1270,1201,1287.9,1201,6.90M,6.72%
2020-07-01,1190,1155,1199,1145,19.51M,3.48%
2020-06-30,1150,1200,1214,1150,7.32M,-3.36%
2020-06-26,1190,1184,1209.9,1177,5.21M,-0.83%
2020-06-25,1200,1213.9,1233.1,1184.9,4.78M,-1.23%
2020-06-24,1215,1163,1217,1163,8.86M,4.47%
2020-06-23,1163,1155,1163,1125,4.76M,1.22%
2020-06-22,1149,1182,1195,1135,4.48M,-2.79%
2020-06-19,1182,1178,1196.9,1161,10.98M,1.03%
2020-06-18,1170,1130,1175,1105,5.06M,4.00%
2020-06-17,1125,1100.2,1125,1080,6.64M,3.86%
2020-06-16,1083.2,1075,1092,1050.8,6.93M,2.00%
2020-06-15,1062,1061.9,1084.2,1020,1.57M,0.00%
2020-06-12,1062,1080,1080,1030,1.71M,1.63%
2020-06-11,1045,1020,1045,1000,1.95M,0.28%
2020-06-10,1042.1,1090,1090,1042.1,1.83M,-4.12%
2020-06-09,1086.9,1059,1090,1042,3.00M,0.64%
2020-06-08,1080,1046,1082,1007,4.45M,3.25%
2020-06-05,1046,1005,1070,1005,9.64M,4.61%
2020-06-04,999.9,1005.9,1014.8,982,3.63M,-0.90%
2020-06-03,1009,1010,1030,995,12.52M,0.90%
2020-06-02,1000,960,1019.9,960,8.87M,3.61%
2020-06-01,965.15,940,974.99,935,1.80M,3.22%
2020-05-29,935,950,950,905,11.77M,-1.06%
2020-05-28,945,970.01,970.01,931,5.00M,-4.16%
2020-05-27,986,973,1009,940,1.81M,1.44%
2020-05-26,972.01,991.1,1000,971,6.34M,-1.82%
2020-05-25,990.01,996,1002.7,972.01,4.52M,-0.10%
2020-05-22,991,1012.8,1015,965,8.11M,-0.41%
2020-05-20,995.1,1021.1,1050,990,5.89M,-2.54%
2020-05-19,1021,1069.9,1069.9,1015.1,10.08M,-4.58%
2020-05-18,1070,1050,1079,1040,5.46M,5.94%
2020-05-15,1010,975,1020,975,11.04M,4.02%
2020-05-14,971,920,971,900,4.84M,5.54%
2020-05-13,920,964,977,901,10.02M,-3.26%
2020-05-12,951,972,979.98,948.01,2.23M,-2.06%
2020-05-11,971,945,971,945,1.82M,2.52%
2020-05-08,947.1,1006.1,1015,947.1,4.56M,-4.93%
2020-05-07,996.17,1020,1030,996.17,6.23M,0.62%
2020-05-06,990,1030,1050,990,7.88M,-2.93%
2020-05-05,1019.9,984.03,1041.33,974.43,3.16M,6.25%
2020-05-04,959.88,959.88,988.87,945.36,2.93M,-1.98%
2020-04-30,979.27,1008.17,1008.17,957.94,3.85M,-3.16%
2020-04-29,1011.27,998.67,1035.51,998.67,2.97M,2.76%
2020-04-28,984.12,971.03,1018.06,950.56,6.60M,2.14%
2020-04-27,963.47,927.94,964.63,927.94,4.19M,4.16%
2020-04-24,924.98,945.34,950.19,913.48,2.18M,-2.15%
2020-04-23,945.34,901.73,949.22,901.73,4.06M,5.18%
2020-04-22,898.81,902,940.49,898.81,3.98M,0.22%
2020-04-21,896.86,905.58,921.1,876.01,1.71M,-1.19%
2020-04-20,907.62,945.34,945.34,906.56,2.64M,-4.00%
2020-04-17,945.44,953.1,968.61,921.22,2.35M,0.63%
2020-04-16,939.52,944.37,950.09,893.95,11.53M,-0.51%
2020-04-15,944.37,945.34,958.9,935.63,11.72M,-1.62%
2020-04-14,959.88,921.2,959.88,921.2,6.44M,4.20%
2020-04-13,921.2,905.59,940.49,878.53,1.59M,1.07%
2020-04-09,911.4,872.59,892.01,872.59,1.81M,3.98%
2020-04-08,876.5,843.53,881.35,843.53,5.48M,4.38%
2020-04-07,839.75,872.62,877.47,834.84,4.86M,-2.58%
2020-04-06,861.96,872.62,882.32,845.47,6.22M,0.68%
2020-04-03,856.14,853.23,877.47,834.32,7.85M,0.34%
2020-04-02,853.23,853.23,892.01,853.23,14.25M,0.00%
2020-04-01,853.23,848.11,861.96,786.33,6.25M,-1.14%
2020-03-31,863.03,796.02,892.01,796.02,11.01M,9.75%
2020-03-30,786.33,746.58,817.32,746.58,8.59M,6.01%
2020-03-27,741.73,707.79,751.41,688.4,7.57M,4.22%
2020-03-26,711.67,649.52,736.88,637.01,11.30M,9.37%
2020-03-25,650.68,630.23,667.08,610.83,12.96M,9.47%
2020-03-24,594.39,678.7,678.7,594.39,5.38M,-1.12%
2020-03-23,601.14,632.16,678.7,601.14,7.55M,-0.16%
2020-03-20,602.11,679.78,732.04,602.11,14.67M,-4.75%
2020-03-19,632.16,677.73,698.1,581.43,6.03M,8.67%
2020-03-18,581.75,690.34,690.34,581.75,4.81M,-15.49%
2020-03-17,688.4,717.49,761.12,654.47,8.79M,-4.05%
2020-03-16,717.49,804.75,804.75,702.94,8.48M,-12.94%
2020-03-13,824.15,854.39,896.86,814.54,3.73M,-2.30%
2020-03-12,843.53,881.35,881.35,843.53,3.40M,-7.35%
2020-03-11,910.43,898.81,920.13,873.59,3.04M,1.29%
2020-03-10,898.81,923.04,942.43,895.89,1.98M,-0.32%
2020-03-09,901.71,929.83,929.83,887.64,2.54M,-4.36%
2020-03-06,942.82,940.49,957.94,940.48,1.63M,-2.26%
2020-03-05,964.63,964.73,964.75,947.28,2.10M,-0.01%
2020-03-04,964.73,959.88,969.58,959.88,3.05M,2.05%
2020-03-03,945.34,956,971.61,945.34,5.39M,-1.12%
2020-03-02,956,928.86,959.88,928.86,3.31M,2.71%
2020-02-28,930.8,938.55,939.52,921.09,7.92M,-1.03%
2020-02-27,940.49,934.67,956.97,917.23,4.46M,0.00%
2020-02-26,940.48,940.49,945.34,935.64,2.73M,0.52%
2020-02-25,935.64,963.76,969.4,933.7,2.12M,-2.92%
2020-02-24,963.76,972.49,972.49,950.19,1.70M,-2.17%
2020-02-21,985.09,969.68,997.7,969.48,2.13M,1.60%
2020-02-20,969.58,979.27,979.27,966.66,5.61M,0.25%
2020-02-19,967.16,969.58,998.67,950.19,4.16M,0.25%
2020-02-18,964.73,990.81,990.81,964.73,566.82K,-2.63%
2020-02-17,990.81,986.06,998.67,984.61,359.61K,0.48%
2020-02-14,986.06,993.82,994.79,984.12,4.18M,-0.78%
2020-02-13,993.82,996.73,1006.42,988.97,4.91M,-0.49%
2020-02-12,998.67,998.67,1007.88,995.76,10.27M,0.00%
2020-02-11,998.67,984.22,1008.36,984.22,4.68M,1.47%
2020-02-10,984.22,998.67,998.67,984.22,3.13M,-1.92%
2020-02-07,1003.51,988.68,1014.18,988.68,2.82M,0.49%
2020-02-06,998.67,989.55,1018.06,989.55,2.63M,0.92%
2020-02-05,989.55,995.27,1006.62,988.97,5.40M,-0.53%
2020-02-04,994.79,961.82,1008.36,961.82,5.52M,2.60%
2020-02-03,969.58,959.88,974.43,959.88,6.31M,1.01%
2020-01-31,959.88,976.85,976.85,959.88,4.62M,-0.60%
2020-01-30,965.7,969.58,980.34,959.88,3.95M,-0.91%
2020-01-29,974.52,961.82,979.27,961.82,7.33M,0.38%
2020-01-28,970.84,969.58,987.9,969.58,1.51M,0.13%
2020-01-27,969.58,994.79,994.79,959.89,2.03M,-2.85%
2020-01-24,997.99,999.25,1008.94,988.97,1.65M,-1.12%
2020-01-23,1009.33,1018.06,1018.15,993.82,12.74M,-0.86%
2020-01-22,1018.06,1005.94,1025.81,1005.94,7.63M,0.48%
2020-01-21,1013.21,1015.15,1025.81,1008.36,11.27M,-1.62%
2020-01-20,1029.89,1024.84,1061.59,1023.87,16.03M,0.49%
2020-01-17,1024.84,998.86,1032.6,984.12,6.05M,2.60%
2020-01-16,998.86,974.43,998.86,970.74,2.21M,2.71%
2020-01-15,972.49,990.91,994.79,959.89,3.67M,-1.87%
2020-01-14,991.01,986.16,1012.24,986.16,1.61M,-0.67%
2020-01-13,997.7,1018.06,1018.06,980.53,4.42M,-1.80%
2020-01-10,1016.02,991.88,1016.02,979.27,1.06M,2.43%
2020-01-09,991.88,989.94,1002.45,977.04,1.43M,0.20%
2020-01-08,989.94,1017.67,1018.06,984.12,2.35M,-2.12%
2020-01-07,1011.37,1003.51,1016.99,1003.51,1.34M,0.78%
2020-01-06,1003.51,1003.42,1003.51,981.5,1.13M,0.01%
2020-01-03,1003.42,1004.39,1004.39,970.55,3.28M,-0.11%
2020-01-02,1004.48,959.88,1006.42,964.73,1.30M,4.65%
2019-12-30,959.88,964.73,976.75,945.34,1.14M,-0.50%
2019-12-27,964.73,955.03,965.7,940.49,1.42M,1.02%
2019-12-26,955.03,956,984.12,950.19,4.37M,-0.10%
2019-12-24,956,959.78,971.23,951.16,1.21M,-0.39%
2019-12-23,959.78,959.89,1003.71,953.19,1.51M,-0.01%
2019-12-20,959.89,966.67,982.09,945.92,5.43M,-0.70%
2019-12-19,966.67,969.58,984.03,964.73,4.30M,0.71%
2019-12-18,959.88,979.27,980.24,952.59,6.69M,-1.98%
2019-12-17,979.27,993.82,1006.42,970.64,6.72M,-1.46%
2019-12-16,993.82,988.97,1016.89,988.97,2.43M,0.49%
2019-12-13,988.97,984.12,1008.36,987.42,3.66M,0.49%
2019-12-12,984.12,990.91,1018.06,984.12,2.98M,-1.58%
2019-12-11,999.93,1020,1041.23,999.64,1.44M,-1.97%
2019-12-10,1020,1022.91,1036.48,1017.57,1.16M,-0.28%
2019-12-09,1022.91,1051.02,1051.02,1008.26,594.63K,-2.68%
2019-12-06,1051.02,1018.06,1051.02,1017.77,1.59M,3.24%
2019-12-05,1018.06,998.67,1037.45,1003.51,3.78M,1.94%
2019-12-04,998.67,992.75,1031.63,991.01,3.92M,0.60%
2019-12-03,992.75,985.09,1022.91,969.68,3.18M,0.78%
2019-12-02,985.09,993.82,1022.81,985.09,2.72M,-0.88%
2019-11-29,993.82,968.61,1003.51,931.76,1.61M,2.60%
2019-11-28,968.61,968.61,977.24,950.19,1.85M,0.00%
2019-11-27,968.61,996.73,996.73,966.67,1.69M,-2.82%
2019-11-26,996.73,1018.06,1018.06,945.34,6.44M,-2.10%
2019-11-25,1018.06,1015.44,1022.81,994.79,2.21M,0.26%
2019-11-22,1015.44,1004.58,1026.98,988.97,1.90M,1.08%
2019-11-21,1004.58,998.67,1051.99,1003.51,3.63M,0.59%
2019-11-20,998.67,999.93,1025.81,979.27,7.48M,-0.13%
2019-11-19,999.93,1050.34,1050.34,990.91,6.28M,-4.80%
2019-11-18,1050.34,1085.93,1066.73,1022.81,4.04M,-3.28%
2019-11-15,1085.93,1008.36,1085.93,1008.36,5.37M,11.98%
2019-11-14,969.77,930.79,969.77,929.83,9.94M,4.19%
2019-11-13,930.79,967.54,940.59,921.08,4.38M,-3.80%
2019-11-12,967.54,969.58,969.58,906.56,3.07M,-0.71%
2019-11-11,974.43,1008.36,1003.51,956,2.82M,-3.37%
2019-11-08,1008.36,988.97,1013.21,979.27,2.28M,1.96%
2019-11-07,988.97,979.27,1001.57,979.27,4.49M,0.07%
2019-11-06,988.29,982.18,998.67,959.88,6.68M,0.81%
2019-11-05,980.34,1004.48,1004.48,973.46,2.30M,-2.40%
2019-11-04,1004.48,979.27,1022.91,979.27,3.53M,2.88%
2019-10-30,976.37,1012.24,1012.34,969.58,2.44M,-3.54%
2019-10-29,1012.24,1017.09,1032.6,1012.14,2.16M,-0.48%
2019-10-28,1017.09,1035.51,1058.78,1007.39,3.92M,-1.65%
2019-10-25,1034.15,1056.84,1056.84,1017.96,2.80M,-0.32%
2019-10-24,1037.45,1014.18,1066.54,1007.39,3.57M,2.69%
2019-10-23,1010.3,1062.66,1058.29,1003.51,5.61M,-4.93%
2019-10-22,1062.66,1047.14,1066.54,1022.91,4.78M,1.95%
2019-10-21,1042.3,1066.54,1066.54,1018.15,5.72M,-5.62%
2019-10-18,1104.35,1100.47,1108.23,1095.62,2.02M,0.35%
2019-10-17,1100.47,1100.47,1133.34,1096.59,6.18M,0.00%
2019-10-16,1100.47,1110.17,1110.17,1095.62,1.87M,0.00%
2019-10-15,1100.47,1101.54,1114.05,1096.4,2.78M,-0.10%
2019-10-14,1101.54,1129.56,1143.91,1097.56,2.40M,-2.48%
2019-10-11,1129.56,1076.23,1129.56,1085.83,3.28M,4.95%
2019-10-10,1076.23,1087.58,1095.62,1076.23,4.87M,-1.04%
2019-10-09,1087.58,1092.71,1100.47,1086.9,1.03M,-0.47%
2019-10-08,1092.71,1095.62,1095.62,1085.93,1.86M,-0.70%
2019-10-07,1100.37,1110.17,1110.17,1092.71,1.64M,-0.88%
2019-10-04,1110.17,1126.65,1144.1,1105.32,2.57M,-1.46%
2019-10-03,1126.65,1151.76,1144.2,1124.71,1.48M,-2.18%
2019-10-02,1151.76,1153.8,1156.71,1139.25,1.47M,-0.43%
2019-10-01,1156.71,1163.49,1173.19,1136.35,1.61M,-0.58%
2019-09-30,1163.49,1180.95,1192.58,1158.65,2.23M,-1.48%
2019-09-27,1180.95,1153.8,1197.33,1163.49,2.65M,2.35%
2019-09-26,1153.8,1167.57,1171.74,1153.8,2.22M,-1.18%
2019-09-25,1167.57,1169.31,1167.57,1124.71,1.42M,-0.15%
2019-09-24,1169.31,1183.08,1197.14,1156.8,2.24M,-1.16%
2019-09-23,1183.08,1182.89,1216.82,1168.34,4.96M,-0.65%
2019-09-17,1190.84,1184.73,1190.84,1169.41,4.54M,0.52%
2019-09-16,1184.73,1160.59,1184.73,1144.49,3.00M,1.99%
2019-09-13,1161.55,1152.54,1161.55,1127.62,1.81M,0.78%
2019-09-12,1152.54,1163.49,1163.49,1125,3.16M,2.12%
2019-09-11,1128.59,1070.41,1128.59,1070.41,13.96M,4.40%
2019-09-10,1080.98,1100.47,1104.35,1077.3,2.79M,-1.77%
2019-09-09,1100.47,1075.75,1105.32,1070.61,1.83M,2.30%
2019-09-06,1075.75,1057.81,1109.2,1057.81,2.48M,1.79%
2019-09-05,1056.84,1037.45,1076.33,1027.07,3.35M,1.87%
2019-09-04,1037.45,1013.31,1037.45,1018.06,1.64M,2.38%
2019-09-03,1013.31,1018.06,1036.48,1009.33,4.36M,-1.44%
2019-09-02,1028.14,1047.14,1047.14,1022.91,832.09K,-1.81%
2019-08-30,1047.14,1061.49,1090.68,1027.75,3.77M,-1.35%
2019-08-29,1061.49,1027.17,1063.63,1027.17,1.23M,3.34%
2019-08-28,1027.17,1023,1037.35,1018.35,2.76M,0.41%
2019-08-27,1023,1027.75,1058.78,1008.46,7.03M,-0.46%
