Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,3.11,3.11,3.11,3.11,1,1.30%
2021-02-22,3.07,3.07,3.07,3.07,1,2.33%
2021-02-19,3,3,3,3,1,1.01%
2021-02-18,2.97,2.97,2.97,2.97,1,0.68%
2021-02-17,2.95,2.95,2.95,2.95,1,1.72%
2021-02-16,2.9,2.9,2.9,2.9,1,1.40%
2021-02-15,2.86,2.86,2.86,2.86,1,0.70%
2021-02-12,2.84,2.84,2.84,2.84,1,0.35%
2021-02-11,2.83,2.83,2.83,2.83,1,0.00%
2021-02-10,2.83,2.83,2.83,2.83,1,-0.35%
2021-02-09,2.84,2.84,2.84,2.84,1,-0.35%
2021-02-08,2.85,2.85,2.85,2.85,1,0.35%
2021-02-05,2.84,2.84,2.84,2.84,1,0.35%
2021-02-04,2.83,2.83,2.83,2.83,1,-0.35%
2021-02-03,2.84,2.84,2.84,2.84,1,-0.35%
2021-02-02,2.85,2.85,2.85,2.85,1,0.00%
2021-02-01,2.85,2.85,2.85,2.85,1,0.35%
2021-01-29,2.84,2.84,2.84,2.84,1,0.71%
2021-01-28,2.82,2.84,2.84,2.82,1,-0.70%
2021-01-27,2.84,2.84,2.84,2.84,1,-0.70%
2021-01-26,2.86,2.86,2.86,2.86,1,0.35%
2021-01-25,2.85,2.85,2.85,2.85,1,-1.04%
2021-01-22,2.88,2.88,2.88,2.88,1,-0.69%
2021-01-21,2.9,2.9,2.9,2.9,1,0.00%
2021-01-20,2.9,2.9,2.9,2.9,1,0.35%
2021-01-19,2.89,2.89,2.89,2.89,1,0.35%
2021-01-18,2.88,2.88,2.88,2.88,1,-0.35%
2021-01-15,2.89,2.89,2.89,2.89,1,-0.69%
2021-01-14,2.91,2.91,2.91,2.91,1,-0.34%
2021-01-13,2.92,2.92,2.92,2.92,1,0.34%
2021-01-12,2.91,2.91,2.91,2.91,1,0.00%
2021-01-11,2.91,2.91,2.91,2.91,1,2.11%
2021-01-08,2.85,2.85,2.85,2.85,1,0.71%
2021-01-07,2.83,2.83,2.83,2.83,1,0.71%
2021-01-06,2.81,2.81,2.81,2.81,1,0.36%
2021-01-05,2.8,2.8,2.8,2.8,1,0.00%
2021-01-04,2.8,2.8,2.8,2.8,1,-0.71%
