Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,78.01,80.06,80.06,78.01,46.09M,-2.56%
2021-02-22,80.06,81.6,81.7,79.5,64.26M,-2.00%
2021-02-19,81.69,80.61,81.7,80.61,204.69M,1.47%
2021-02-18,80.51,80,81,79.51,80.33M,-0.73%
2021-02-17,81.1,83,83,80.81,135.53M,-2.15%
2021-02-16,82.88,80.45,82.88,80.3,110.50M,3.02%
2021-02-15,80.45,79.8,80.95,78.6,9.84M,0.69%
2021-02-12,79.9,79.9,80.5,78.71,45.61M,-0.12%
2021-02-11,80,78.17,80,77.4,175.72M,2.58%
2021-02-10,77.99,77.4,77.99,77.02,48.77M,0.76%
2021-02-09,77.4,75.99,77.4,75.6,99.25M,1.98%
2021-02-08,75.9,75.1,77.02,75.1,74.25M,0.52%
2021-02-05,75.51,77,77,75,51.03M,-0.64%
2021-02-04,76,75.94,76.7,74.4,82.62M,1.08%
2021-02-03,75.19,74.61,75.94,74.4,66.20M,0.79%
2021-02-02,74.6,76,76.48,74.6,69.40M,-1.44%
2021-02-01,75.69,75.01,77.5,73.62,108.36M,1.05%
2021-01-29,74.9,75.8,75.8,74.21,100.99M,-1.19%
2021-01-28,75.8,75.3,76.6,73.16,97.25M,0.66%
2021-01-27,75.3,76,76,74.67,118.49M,-0.91%
2021-01-26,75.99,76.95,77.99,75.7,52.06M,-0.41%
2021-01-25,76.3,75.24,76.97,75.24,48.82M,0.39%
2021-01-22,76,77.75,77.75,75.7,56.08M,-2.70%
2021-01-21,78.11,79.78,80.22,78,40.82M,-1.11%
2021-01-20,78.99,81,81.5,78.2,66.74M,-2.24%
2021-01-19,80.8,79.99,81.49,79.95,85.66M,1.64%
2021-01-18,79.5,78.98,79.5,78,20.34M,1.27%
2021-01-15,78.5,80,80.8,78.5,39.79M,-2.94%
2021-01-14,80.88,80,81,79.75,43.19M,0.60%
2021-01-13,80.4,79.5,80.9,79.5,104.38M,1.76%
2021-01-12,79.01,78.98,80.1,78.3,159.60M,0.03%
2021-01-11,78.99,78.49,79.1,77,87.84M,0.30%
2021-01-08,78.75,77.5,78.75,77.15,128.67M,1.88%
2021-01-07,77.3,76,77.45,75.03,125.51M,3.07%
2021-01-06,75,75,75.85,74,76.09M,1.01%
2021-01-05,74.25,73.3,75.39,73.01,80.93M,1.46%
2021-01-04,73.18,73,73.85,72.81,147.26M,0.87%
2020-12-31,72.55,72.55,72.55,72.55,-,0.00%
2020-12-30,72.55,73.5,73.8,72.4,96.53M,-1.31%
2020-12-29,73.51,74,74.5,73.26,115.80M,-0.37%
2020-12-28,73.78,73.51,74.4,73.51,42.88M,0.46%
2020-12-24,73.44,74.47,75,73.02,52.22M,-1.38%
2020-12-23,74.47,75.5,75.5,72.7,97.47M,-0.56%
2020-12-22,74.89,74.5,76.5,74.4,133.52M,-0.12%
2020-12-21,74.98,72.5,74.98,71,132.17M,2.43%
2020-12-18,73.2,74.92,75.15,73.2,278.90M,-2.27%
2020-12-17,74.9,72.02,74.9,72.02,54.36M,4.01%
2020-12-16,72.01,71.82,72.97,71.8,70.74M,0.28%
2020-12-15,71.81,72.27,73,71.5,46.17M,-0.62%
2020-12-14,72.26,72.68,73.7,71.7,37.96M,-0.56%
2020-12-11,72.67,73.9,73.9,72.05,36.81M,-0.47%
2020-12-10,73.01,73.8,73.9,72.56,75.59M,-0.42%
2020-12-09,73.32,71.5,73.8,70.8,59.08M,2.09%
2020-12-07,71.82,73,73.78,70.51,64.88M,-2.68%
2020-12-04,73.8,72.98,73.88,72,86.60M,0.61%
2020-12-03,73.35,72.6,73.35,71.78,225.52M,1.03%
2020-12-02,72.6,69.98,72.8,68.06,132.09M,3.70%
2020-12-01,70.01,67.16,70.65,67.16,153.98M,4.26%
2020-11-30,67.15,68.01,68.33,66.18,834.22M,-1.08%
2020-11-27,67.88,67.82,68.4,67.3,95.74M,1.09%
2020-11-26,67.15,68.1,68.99,67.1,97.53M,-0.52%
2020-11-25,67.5,70.46,71.2,67.5,116.11M,-3.24%
2020-11-24,69.76,69.29,70.5,68.73,106.16M,1.69%
2020-11-23,68.6,68.46,71,65.76,119.71M,-0.80%
2020-11-20,69.15,70.51,70.79,67.4,143.68M,-1.20%
2020-11-19,69.99,72,72.3,69.99,132.57M,-2.79%
2020-11-18,72,71.73,72.29,70.75,78.19M,0.39%
2020-11-17,71.72,70.99,72.34,70.5,99.36M,0.01%
2020-11-16,71.71,71.44,73.38,71.01,204.53M,0.38%
2020-11-13,71.44,70.31,71.46,70.31,47.78M,1.91%
2020-11-12,70.1,71.3,71.3,69.2,93.61M,-2.09%
2020-11-11,71.6,70,72.5,70,75.88M,0.55%
2020-11-10,71.21,70,71.4,68.46,134.43M,1.73%
2020-11-09,70,69,70,68,134.92M,5.26%
2020-11-06,66.5,64.06,66.5,63.3,74.34M,3.92%
2020-11-05,63.99,59.52,63.99,59.5,71.13M,8.15%
2020-11-04,59.17,61.11,61.4,59.17,84.90M,-2.20%
2020-11-03,60.5,62.01,62.85,60.4,60.65M,-2.04%
2020-11-02,61.76,60.45,62.4,60.45,44.40M,3.45%
2020-10-30,59.7,61.5,62.12,59.7,109.95M,-2.93%
2020-10-29,61.5,61.72,62.25,60.5,77.58M,-1.77%
2020-10-28,62.61,63.29,63.5,61.5,78.09M,-1.46%
2020-10-27,63.54,63.3,64.99,62.82,64.12M,0.70%
2020-10-26,63.1,65,65.5,61.12,70.67M,-5.10%
2020-10-23,66.49,65.1,67,65.1,66.79M,0.94%
2020-10-22,65.87,63.5,66.1,63.5,162.73M,2.95%
2020-10-21,63.98,61.9,63.98,60.51,84.53M,4.80%
2020-10-20,61.05,61.11,61.63,60.5,54.24M,0.91%
2020-10-19,60.5,60.2,61.65,60,59.99M,0.17%
2020-10-16,60.4,60.4,60.59,59.41,134.37M,0.00%
2020-10-15,60.4,59.88,61,59.28,68.43M,0.67%
2020-10-14,60,60.75,61,59.9,124.34M,-1.23%
2020-10-13,60.75,61.07,61.88,60.75,51.94M,-0.51%
2020-10-09,61.06,60.76,61.7,60.01,61.33M,0.51%
2020-10-08,60.75,59.4,60.75,59.14,76.41M,2.45%
2020-10-07,59.3,60.2,60.68,59.25,52.59M,-1.50%
2020-10-06,60.2,62.36,62.36,60.15,103.10M,-3.40%
2020-10-05,62.32,62.89,63,61.75,58.10M,-0.30%
2020-10-02,62.51,60.5,63,60.1,39.88M,2.63%
2020-10-01,60.91,60.03,61.5,60.03,96.62M,1.60%
2020-09-30,59.95,59.21,60.2,59.16,159.68M,2.03%
2020-09-29,58.76,60.06,60.06,58.76,102.74M,-2.16%
2020-09-28,60.06,61.5,61.5,60.01,25.53M,-0.40%
2020-09-25,60.3,61,61.5,60.15,78.88M,-0.50%
2020-09-24,60.6,60,61.47,59.1,113.10M,2.19%
2020-09-23,59.3,62,62,59.09,137.20M,-3.58%
2020-09-22,61.5,62,62.13,61.5,71.48M,0.79%
2020-09-21,61.02,60.9,62,60.15,84.77M,-2.37%
2020-09-17,62.5,62.79,62.79,61.2,126.13M,0.47%
2020-09-16,62.21,62,62.3,61,35.87M,0.47%
2020-09-15,61.92,62.5,62.85,61.59,59.84M,-0.85%
2020-09-14,62.45,63,63.48,62.31,82.89M,0.24%
2020-09-11,62.3,63.98,63.98,61.83,101.34M,-1.27%
2020-09-10,63.1,64,64.89,62.7,89.91M,-1.44%
2020-09-09,64.02,65.79,66.3,64.02,54.22M,-2.71%
2020-09-08,65.8,66.95,66.95,65.8,17.68M,-1.72%
2020-09-07,66.95,66,67,65.98,14.95M,1.44%
2020-09-04,66,66.41,67.29,65.12,64.87M,-0.60%
2020-09-03,66.4,65.01,67,64.63,48.62M,2.48%
2020-09-02,64.79,64.5,65.9,63.52,46.36M,1.23%
2020-09-01,64,66.76,66.76,64,111.11M,-1.52%
2020-08-31,64.99,66.97,67.36,64.99,142.00M,-2.96%
2020-08-28,66.97,67.5,67.85,66.63,39.91M,-0.79%
2020-08-27,67.5,67,67.74,66.27,78.30M,0.90%
2020-08-26,66.9,67.9,68.05,66.81,43.51M,-0.90%
2020-08-25,67.51,68.9,68.9,67.51,58.55M,-1.45%
2020-08-24,68.5,71.66,71.66,68.5,38.05M,-1.57%
2020-08-21,69.59,69.4,69.89,68.7,38.23M,0.14%
2020-08-20,69.49,69.99,69.99,68.7,20.48M,-0.30%
2020-08-19,69.7,70.87,71.64,69.7,35.15M,-1.65%
2020-08-18,70.87,71.45,71.45,70.49,80.06M,-0.06%
2020-08-17,70.91,70.9,71.48,69.95,50.97M,1.31%
2020-08-14,69.99,69.96,70,69.36,24.82M,0.42%
2020-08-13,69.7,70,70.49,69.2,60.82M,0.06%
2020-08-12,69.66,70.36,70.84,69.6,66.44M,0.24%
2020-08-11,69.49,70.7,70.7,69.49,42.58M,-0.74%
2020-08-10,70.01,70.65,71,70.01,30.48M,-0.86%
2020-08-07,70.62,70.6,71.25,70,25.99M,0.17%
2020-08-06,70.5,69.98,70.5,69.5,37.14M,1.44%
2020-08-05,69.5,70.7,70.7,69.5,77.90M,-0.44%
2020-08-04,69.81,70.5,71.59,69.81,72.18M,-0.71%
2020-08-03,70.31,72,72,70.31,69.79M,-3.26%
2020-07-31,72.68,70.72,72.68,70.41,103.79M,3.08%
2020-07-30,70.51,71.02,71.02,70.12,83.23M,-0.70%
2020-07-29,71.01,73.96,73.96,71.01,78.20M,-2.81%
2020-07-28,73.06,74.4,74.8,73.06,76.46M,-1.80%
2020-07-27,74.4,73.99,75,73.99,102.85M,1.16%
2020-07-24,73.55,73,74.25,71,261.54M,1.73%
2020-07-23,72.3,71.5,72.97,71.06,88.78M,1.42%
2020-07-22,71.29,71.49,71.78,70.5,94.36M,0.21%
2020-07-21,71.14,71.5,72.3,70.5,65.21M,-0.50%
2020-07-20,71.5,71.8,71.8,70.6,242.07M,-0.42%
2020-07-17,71.8,73.2,73.2,71.6,66.96M,-2.66%
2020-07-15,73.76,75.7,75.81,73.6,92.69M,-2.37%
2020-07-14,75.55,74.6,75.55,73.2,74.73M,2.08%
2020-07-13,74.01,75,75.81,74.01,150.10M,0.09%
2020-07-10,73.94,74.3,75,73.6,48.18M,-0.48%
2020-07-09,74.3,75,75.78,72.79,181.13M,-3.36%
2020-07-08,76.88,78.7,78.96,76.11,121.92M,-2.70%
2020-07-07,79.01,78.2,79.2,77.5,128.85M,0.05%
2020-07-06,78.97,77.86,79.28,77.85,147.43M,2.77%
2020-07-03,76.84,77.1,77.89,76,28.02M,-0.34%
2020-07-02,77.1,75.26,77.98,75.26,82.82M,2.95%
2020-07-01,74.89,73,75.19,72.63,57.23M,3.30%
2020-06-30,72.5,73.42,73.86,72.01,75.98M,-0.68%
2020-06-26,73,74.21,74.21,73,41.83M,-1.63%
2020-06-25,74.21,75.49,75.6,74.21,39.79M,-1.71%
2020-06-24,75.5,76.55,76.59,75.5,35.53M,-1.72%
2020-06-23,76.82,76.65,77.25,75.31,98.61M,1.71%
2020-06-22,75.53,75.8,77,75.22,131.70M,-0.36%
2020-06-19,75.8,75.15,75.8,74.61,258.74M,1.07%
2020-06-18,75,75.82,75.83,74.41,122.75M,-0.68%
2020-06-17,75.51,76.16,77,75.25,94.31M,0.95%
2020-06-16,74.8,74.01,75.09,73.66,49.25M,2.47%
2020-06-15,73,75.17,75.17,72.82,105.57M,-3.81%
2020-06-12,75.89,76,77.99,74.51,110.41M,-0.14%
2020-06-11,76,74.65,76,73.78,102.52M,-1.30%
2020-06-10,77,77.96,77.96,75.8,71.84M,-0.40%
2020-06-09,77.31,78,78.12,77,125.52M,-1.24%
2020-06-08,78.28,77.01,78.75,75.95,90.15M,1.65%
2020-06-05,77.01,75.21,77.21,75.21,204.65M,2.98%
2020-06-04,74.78,71.75,74.78,70.59,124.39M,4.15%
2020-06-03,71.8,70.98,71.85,70.5,96.31M,2.57%
2020-06-02,70,69,70.95,69,119.22M,1.45%
2020-06-01,69,68,69.64,66.64,136.39M,1.46%
2020-05-29,68.01,67.84,68.01,65.5,370.42M,0.77%
2020-05-28,67.49,70,70.43,67.1,184.18M,-4.94%
2020-05-27,71,68.99,71,68.65,119.27M,4.01%
2020-05-26,68.26,67.11,68.8,67.11,62.03M,1.87%
2020-05-25,67.01,67.49,67.49,66.11,63.31M,0.16%
2020-05-22,66.9,68.7,68.72,66.9,142.23M,-1.62%
2020-05-20,68,67.54,68.6,66.58,61.83M,0.70%
2020-05-19,67.53,68.98,69.18,67.53,35.07M,-1.20%
2020-05-18,68.35,68,69.29,67.68,103.57M,2.78%
2020-05-15,66.5,67.69,68.16,66.5,64.71M,-2.06%
2020-05-14,67.9,67.99,69.18,66.23,235.70M,1.34%
2020-05-13,67,70.01,70.1,66.23,170.97M,-3.87%
2020-05-12,69.7,70.87,73.21,69.7,218.09M,-1.13%
2020-05-11,70.5,72,72.74,70.1,118.27M,-0.70%
2020-05-08,71,76.13,76.13,71,118.56M,-5.96%
2020-05-07,75.5,75.18,76.83,75.18,74.49M,0.67%
2020-05-06,75,74.99,75.6,73.73,112.65M,1.63%
2020-05-05,73.8,73.1,74.8,72.46,59.61M,2.36%
2020-05-04,72.1,72.9,73.48,71,108.96M,-2.04%
2020-04-30,73.6,75.99,76.23,73.6,188.51M,-3.50%
2020-04-29,76.27,74,76.27,73.01,188.31M,6.23%
2020-04-28,71.8,70.71,74,70.71,137.30M,2.57%
2020-04-27,70,68.46,70.47,68.34,274.88M,3.40%
2020-04-24,67.7,70.01,70.22,67.7,146.99M,-3.13%
2020-04-23,69.89,69.64,70.3,69.5,273.44M,0.37%
2020-04-22,69.63,69.69,69.9,69,93.19M,1.95%
2020-04-21,68.3,69.7,69.7,67.25,179.78M,-2.15%
2020-04-20,69.8,70.75,70.75,69.45,104.04M,-1.83%
2020-04-17,71.1,73.68,74.18,71.1,59.15M,-1.94%
2020-04-16,72.51,73.7,73.7,70.85,157.21M,-0.53%
2020-04-15,72.9,74.44,75.32,72.5,134.84M,-2.63%
2020-04-14,74.87,76,76.99,74.09,87.39M,0.43%
2020-04-13,74.55,74.5,74.96,72,43.27M,0.61%
2020-04-09,74.1,74,75.5,73.41,32.58M,1.49%
2020-04-08,73.01,76.6,76.6,73.01,106.90M,-3.93%
2020-04-07,76,79,79,74.51,234.91M,-2.55%
2020-04-06,77.99,77.45,79.9,76.05,148.14M,2.75%
2020-04-03,75.9,75,76,73.48,383.02M,2.43%
2020-04-02,74.1,70.5,74.98,70.5,228.67M,6.16%
2020-04-01,69.8,67.74,70.34,65.1,96.41M,1.01%
2020-03-31,69.1,66.72,69.1,66.72,158.20M,3.60%
2020-03-30,66.7,64.5,66.9,63.48,113.10M,4.04%
2020-03-27,64.11,63,64.25,60.31,119.36M,1.76%
2020-03-26,63,60,64.29,59.04,125.64M,4.13%
2020-03-25,60.5,58.5,60.5,58.1,185.98M,6.12%
2020-03-24,57.01,61.9,64,57.01,130.83M,-1.79%
2020-03-23,58.05,69.51,69.51,58.05,160.48M,-12.09%
2020-03-20,66.03,67.65,70.88,64.13,297.64M,-0.57%
2020-03-19,66.41,57.95,67.46,57,229.58M,16.89%
2020-03-18,56.81,61.66,61.66,56.53,140.57M,-9.20%
2020-03-17,62.57,60.8,63.65,60.04,145.02M,4.54%
2020-03-16,59.85,64.55,64.55,59.85,125.29M,-9.37%
2020-03-13,66.04,67.46,69.1,65.35,102.09M,2.70%
2020-03-12,64.3,68.41,68.41,63.65,87.88M,-6.00%
2020-03-11,68.41,70.24,70.25,68.27,64.67M,-2.62%
2020-03-10,70.25,69.93,70.97,68.94,93.69M,1.96%
2020-03-09,68.9,71.26,71.26,68.9,128.05M,-4.33%
2020-03-06,72.02,73.16,73.16,72.02,100.26M,-2.07%
2020-03-05,73.54,74.66,74.66,73.16,95.65M,-1.78%
2020-03-04,74.87,74.07,75.64,74.07,94.06M,1.40%
2020-03-03,73.83,72.9,75.53,72.86,126.30M,1.33%
2020-03-02,72.86,68.89,73.06,68.89,82.77M,6.44%
2020-02-28,68.45,73.18,73.18,68.45,166.83M,-6.47%
2020-02-27,73.18,73.06,75.25,71.46,117.14M,0.16%
2020-02-26,73.07,72.21,73.29,72.21,98.24M,0.93%
2020-02-25,72.4,71.78,72.68,71.74,90.55M,0.14%
2020-02-24,72.29,73.25,73.25,71.54,25.40M,-1.37%
2020-02-21,73.3,74.58,74.58,73.25,69.84M,-1.72%
2020-02-20,74.58,73.59,74.58,72.87,103.79M,1.70%
2020-02-19,73.34,74.3,75.53,72.21,500.13M,-1.29%
2020-02-18,74.3,76.04,76.29,74.11,81.01M,-2.25%
2020-02-17,76.01,76.01,76.39,76.01,6.10M,-0.97%
2020-02-14,76.75,76.01,76.75,75.91,26.89M,0.98%
2020-02-13,76.01,76.77,76.77,76.01,49.07M,-0.99%
2020-02-12,76.77,76.96,78.16,76.11,42.22M,0.37%
2020-02-11,76.48,76.02,76.53,76.01,39.07M,0.86%
