Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,2106.1,2180,2180,2106.1,2.53M,-3.52%
2021-02-22,2183,2168.1,2183,2125.9,3.52M,-0.32%
2021-02-19,2190,2105,2190,2105,3.78M,3.79%
2021-02-18,2110,2100,2132,2082,1.75M,0.48%
2021-02-17,2100,2145,2160,2062.3,2.90M,-2.33%
2021-02-16,2150,2219.1,2219.1,2110.1,1.02M,-2.14%
2021-02-15,2197.1,2200,2212,2180,1.01M,0.37%
2021-02-12,2189,2150,2190,2103,1.06M,2.05%
2021-02-11,2145,2079,2145,2079,758.26K,2.14%
2021-02-10,2100,2130,2145,2061.3,1.26M,-0.91%
2021-02-09,2119.3,2042,2119.3,2042,1.50M,3.79%
2021-02-08,2042,2080.6,2080.6,2021.1,1.06M,-0.87%
2021-02-05,2060,2008,2060,1960.1,3.03M,3.00%
2021-02-04,2000,2000,2020,1940,1.52M,0.00%
2021-02-03,2000,2063,2100,1992,3.10M,-2.11%
2021-02-02,2043.1,2063.1,2119.8,2043.1,1.17M,-0.39%
2021-02-01,2051.1,2026,2074.9,2000,1.25M,4.38%
2021-01-29,1965,2038.9,2062,1965,2.21M,-3.68%
2021-01-28,2040,2098.7,2098.7,2040,1.24M,-2.02%
2021-01-27,2082,2120,2140,2080.1,1.97M,-3.07%
2021-01-26,2148,2100,2148,2080.1,1.39M,2.24%
2021-01-25,2101,2088.9,2138.9,2086.8,1.38M,-0.43%
2021-01-22,2110,2174,2174,2100,1.31M,-3.21%
2021-01-21,2180,2220,2240,2159.9,1.03M,-0.91%
2021-01-20,2200,2207.9,2218,2177.3,2.74M,0.64%
2021-01-19,2186,2145.1,2214,2145.1,2.25M,2.34%
2021-01-18,2136,2107.9,2136,2080.3,949.66K,2.20%
2021-01-15,2090,2098.8,2124,2080,1.11M,-1.42%
2021-01-14,2120,2120,2130,2066.9,2.04M,0.00%
2021-01-13,2120,2130,2140,2065,2.09M,0.00%
2021-01-12,2120,2040,2120,2039,3.42M,3.93%
2021-01-11,2039.9,2048,2048,2005,1.88M,-0.44%
2021-01-08,2048.9,2001,2048.9,1985.2,2.87M,2.44%
2021-01-07,2000,1993,2005,1961,4.92M,1.52%
2021-01-06,1970,1990,2017.7,1970,2.17M,-0.96%
2021-01-05,1989,1940,1989,1900,2.57M,3.86%
2021-01-04,1915,1900,1920,1900,3.12M,2.41%
2020-12-31,1870,1870,1870,1870,-,0.00%
2020-12-30,1870,1888,1910,1870,2.54M,-0.01%
2020-12-29,1870.1,1855,1878,1851.9,2.91M,1.35%
2020-12-28,1845.1,1825,1874,1825,2.52M,1.10%
2020-12-24,1825,1810.1,1829.9,1780,1.46M,0.83%
2020-12-23,1810,1841,1849.9,1806.1,2.16M,-1.63%
2020-12-22,1840,1854.1,1890,1839.9,1.92M,-0.76%
2020-12-21,1854,1849,1854,1805,2.39M,-1.20%
2020-12-18,1876.6,1830,1880,1815,7.15M,2.48%
2020-12-17,1831.1,1791.1,1845,1791.1,2.85M,2.58%
2020-12-16,1785,1767,1790,1752.9,2.14M,2.59%
2020-12-15,1740,1747.9,1765,1721.2,4.82M,1.16%
2020-12-14,1720,1768.8,1789.6,1713.7,2.74M,-2.82%
2020-12-11,1770,1740,1770,1712,1.15M,2.91%
2020-12-10,1720,1768,1784,1720,1.47M,-2.60%
2020-12-09,1766,1785,1820,1760.1,1.26M,-0.73%
2020-12-07,1779,1774,1779,1706,2.37M,-0.51%
2020-12-04,1788.1,1800,1824,1767,1.02M,-0.66%
2020-12-03,1800,1780,1800,1753.1,2.28M,0.36%
2020-12-02,1793.5,1788.9,1799,1720,3.08M,2.19%
2020-12-01,1755,1685,1755,1685,2.23M,6.36%
2020-11-30,1650.1,1735.1,1760.1,1650.1,6.84M,-4.89%
2020-11-27,1735,1690,1755.1,1672,2.17M,1.77%
2020-11-26,1704.9,1709,1728,1670,528.74K,-0.78%
2020-11-25,1718.3,1680,1718.3,1668.7,3.03M,2.40%
2020-11-24,1678,1676,1705,1676,1.57M,0.19%
2020-11-23,1674.9,1666,1700,1658,1.68M,0.59%
2020-11-20,1665,1666.1,1710,1665,1.04M,0.05%
2020-11-19,1664.1,1691.1,1718,1664.1,714.66K,-3.24%
2020-11-18,1719.9,1664,1719.9,1651,1.53M,3.36%
2020-11-17,1664,1630,1665,1627,4.68M,0.54%
2020-11-16,1655,1655,1705,1655,2.78M,0.30%
2020-11-13,1650,1676.9,1676.9,1610,2.45M,0.30%
2020-11-12,1645,1679.9,1700,1630.1,2.75M,-2.08%
2020-11-11,1679.9,1700,1742.7,1670.5,1.30M,-1.41%
2020-11-10,1704,1703,1704,1680,1.86M,0.02%
2020-11-09,1703.7,1725,1764,1681.5,2.68M,-0.25%
2020-11-06,1707.9,1711,1730,1680.3,1.38M,0.47%
2020-11-05,1699.9,1644.9,1699.9,1630,2.28M,3.34%
2020-11-04,1645,1580.5,1659.6,1580.5,3.95M,2.81%
2020-11-03,1600,1603,1617.5,1564.9,850.08K,0.00%
2020-11-02,1600,1629,1655,1591,1.20M,-0.50%
2020-10-30,1608.1,1599,1629.5,1599,1.66M,0.51%
