Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,135.01,137,138.01,135,44.86M,-2.17%
2021-02-22,138.01,139.9,139.9,137.1,52.89M,-1.03%
2021-02-19,139.45,137.9,139.89,137.5,30.19M,1.05%
2021-02-18,138,136,138,136,29.34M,0.18%
2021-02-17,137.75,137.01,139.6,136.62,25.54M,-0.90%
2021-02-16,139,138.6,139.99,135.21,50.46M,0.44%
2021-02-15,138.39,137.5,139,137.4,24.10M,0.64%
2021-02-12,137.51,135.5,137.8,135,49.24M,1.48%
2021-02-11,135.5,136,136,135.05,14.60M,0.00%
2021-02-10,135.5,136.5,136.5,134.52,36.49M,-1.09%
2021-02-09,137,135.6,137.88,135.16,16.58M,-1.01%
2021-02-08,138.4,135.13,138.4,135,31.06M,1.39%
2021-02-05,136.5,130.5,136.5,130.5,12.21M,4.60%
2021-02-04,130.5,130.5,130.94,129.01,17.61M,0.00%
2021-02-03,130.5,131.89,131.9,130.1,17.42M,-0.01%
2021-02-02,130.51,129.4,132,129.4,16.97M,0.86%
2021-02-01,129.4,127.3,129.79,120.5,20.92M,2.13%
2021-01-29,126.7,125.86,128.41,124,53.59M,0.56%
2021-01-28,126,123.2,126.4,120.5,12.71M,2.44%
2021-01-27,123,126.39,127.21,123,13.12M,-2.71%
2021-01-26,126.42,126.27,127.38,123,12.54M,0.53%
2021-01-25,125.75,127.17,129.09,125.75,8.72M,-1.13%
2021-01-22,127.19,128,128,125.44,8.49M,-0.63%
2021-01-21,128,129,130.89,127.98,5.61M,-0.77%
2021-01-20,128.99,131.8,132.7,127,7.84M,-2.09%
2021-01-19,131.75,130.53,134.79,130.53,20.89M,0.96%
2021-01-18,130.5,132.3,132.3,130.26,27.29M,-0.37%
2021-01-15,130.99,132,132.02,130.5,7.68M,-1.06%
2021-01-14,132.4,133.93,133.94,130,23.95M,-1.14%
2021-01-13,133.93,135,135,131.4,14.03M,-0.87%
2021-01-12,135.1,134.44,135.1,132,9.50M,0.37%
2021-01-11,134.6,134.5,135,132.3,9.76M,-0.30%
2021-01-08,135,133.63,135.5,132.13,13.94M,0.01%
