Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,8150,8340,8340,8102.9,345.78K,-1.28%
2021-02-22,8255.3,8689,8689,8150,280.52K,-1.72%
2021-02-19,8400,8210,8400,8210,477.94K,2.31%
2021-02-18,8210,8200,8290,8160.1,412.67K,0.00%
2021-02-17,8210,8559,8559,8210,450.47K,-4.08%
2021-02-16,8558.8,8730,8730,8450.6,207.43K,-1.06%
2021-02-15,8650.6,8580,8746,8580,266.90K,0.03%
2021-02-12,8648,8362,8650,8362,327.44K,2.48%
2021-02-11,8439,8254.6,8489.9,8235.4,336.76K,1.21%
2021-02-10,8338,8300,8338,8150.1,258.98K,0.46%
2021-02-09,8300,8090,8300,8090,482.49K,2.84%
2021-02-08,8071,8300,8348.6,8070,623.36K,-2.64%
2021-02-05,8290,8265,8320,8250,265.03K,0.30%
2021-02-04,8265,7970,8265,7900,596.98K,3.82%
2021-02-03,7961,8050,8050,7784.9,695.30K,-0.36%
2021-02-02,7990,8150,8290,7990,347.40K,-0.75%
2021-02-01,8050,7899.9,8150,7813.7,369.61K,4.27%
2021-01-29,7720,7854,7979,7650.1,1.22M,-1.71%
2021-01-28,7854,8059,8131,7854,441.55K,-2.51%
2021-01-27,8056,8200,8299,8056,625.66K,-3.11%
2021-01-26,8315,8444.9,8444.9,8130,349.17K,-0.94%
2021-01-25,8394,8110,8394,8110,637.41K,3.50%
2021-01-22,8110,8326,8326,8100,298.08K,-2.59%
2021-01-21,8325.7,8600,8649,8325.7,227.01K,-3.19%
2021-01-20,8600,8698,8700,8510,373.69K,-1.13%
2021-01-19,8698,8450,8698,8406.1,541.19K,3.00%
2021-01-18,8445,8048,8445,8006.1,217.19K,4.02%
2021-01-15,8119,8038.8,8200,8038.8,280.84K,-0.01%
2021-01-14,8120,8011,8140,7970,381.14K,0.37%
2021-01-13,8090,7850.1,8240,7850.1,640.70K,1.14%
2021-01-12,7999,7849.9,8000,7849.9,511.60K,1.11%
2021-01-11,7911,7939.9,8034.9,7888,673.28K,-1.11%
2021-01-08,8000,8000,8050,7860.1,482.23K,-0.79%
2021-01-07,8064,7800,8064,7710,591.00K,3.40%
2021-01-06,7799,7771,7990,7770.2,1.22M,-0.64%
2021-01-05,7849,7479.8,7948.9,7425,798.65K,4.93%
2021-01-04,7480,7296,7480,7280,798.81K,3.74%
2020-12-31,7210,7210,7210,7210,-,0.00%
2020-12-30,7210,7310,7330.1,7203,621.94K,-2.30%
2020-12-29,7380,7193.9,7380,7193.9,690.61K,2.57%
2020-12-28,7194.9,7120,7241.6,7071,661.32K,1.77%
2020-12-24,7070,6995,7070,6920.1,281.55K,2.02%
2020-12-23,6930,6900.1,6980,6900.1,576.93K,0.43%
2020-12-22,6900,6856.2,6990,6856.2,1.64M,0.64%
2020-12-21,6856.2,6894,6979.8,6710.1,926.94K,-0.63%
2020-12-18,6900,7130,7400,6900,2.07M,-3.23%
2020-12-17,7130,6840,7138,6840,833.03K,4.55%
2020-12-16,6820,6619.9,6900.1,6611.7,783.03K,3.02%
2020-12-15,6620,6515,6628,6449.9,402.68K,1.66%
2020-12-14,6512,6589,6590,6502,359.42K,-1.18%
2020-12-11,6590,6585,6590,6400,609.95K,1.19%
2020-12-10,6512.5,6570,6570,6451.2,411.23K,0.42%
2020-12-09,6485,6541.8,6620,6485,381.33K,-0.87%
2020-12-07,6541.8,6514.2,6555,6400.1,667.92K,-0.58%
2020-12-04,6580,6600,6605,6503.1,506.48K,-0.38%
2020-12-03,6605,6500,6605,6454,1.26M,1.62%
2020-12-02,6500,6275,6500,6232.1,1.02M,4.33%
2020-12-01,6230,6200,6244.9,6149.9,921.87K,2.98%
2020-11-30,6050,6305.1,6389.9,6050,4.26M,-4.04%
2020-11-27,6305,6250,6409.1,6200.1,804.51K,2.27%
