Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,106.26,108.2,108.2,106.26,85.42M ,-1.79%
2021-02-22,108.2,110.7,111,108.2,113.99M ,-3.40%
2021-02-19,112.01,112,112.12,110.6,66.73M ,0.72%
2021-02-18,111.21,111.6,112,111.03,42.72M ,-0.53%
2021-02-17,111.8,113.8,113.8,111.4,69.18M ,-1.61%
2021-02-16,113.63,114.28,114.6,113.2,77.56M ,-0.92%
2021-02-15,114.69,114.1,114.89,113.5,30.54M ,0.59%
2021-02-12,114.02,114.93,115.49,113.71,64.20M ,-0.59%
2021-02-11,114.7,114.6,114.89,113.1,75.75M ,0.09%
2021-02-10,114.6,115.63,116.4,113.35,37.78M ,-0.90%
2021-02-09,115.64,113,115.64,112.1,50.22M ,3.30%
2021-02-08,111.95,113.3,113.3,111.5,89.53M ,-0.53%
2021-02-05,112.55,112,113,111.8,22.36M ,0.48%
2021-02-04,112.01,113,113.35,112,39.91M ,-0.44%
2021-02-03,112.51,113,113.87,112.03,53.81M ,0.10%
2021-02-02,112.4,112.7,114.9,112.11,85.26M ,-0.09%
2021-02-01,112.5,111.89,112.7,110.5,42.67M ,1.80%
2021-01-29,110.51,111.3,112.5,110.1,144.63M ,-0.89%
2021-01-28,111.5,112.06,112.7,111.5,69.66M ,-1.04%
2021-01-27,112.67,112.33,114,111.5,91.81M ,-0.29%
2021-01-26,113,113.81,113.9,111,62.90M ,-0.70%
2021-01-25,113.8,113.99,114.39,112,46.36M ,0.62%
2021-01-22,113.1,115.68,115.68,112.85,43.86M ,-1.65%
2021-01-21,115,116.5,117,114.61,39.84M ,-0.68%
2021-01-20,115.79,117.5,117.5,115.21,47.31M ,-0.79%
2021-01-19,116.71,117.05,118.1,116.71,97.16M ,-0.25%
2021-01-18,117,116.7,117.76,116.6,58.67M ,0.00%
2021-01-15,117,117.98,118,116.7,68.54M ,-0.59%
2021-01-14,117.69,118.76,118.76,116.76,56.50M ,-0.69%
2021-01-13,118.51,119,119.2,117.9,88.97M ,0.19%
2021-01-12,118.28,119.4,119.99,117.87,68.63M ,-0.76%
2021-01-11,119.19,119.79,119.94,118.11,76.51M ,-0.58%
2021-01-08,119.89,118.94,119.9,118.44,91.47M ,1.17%
2021-01-07,118.5,117.5,118.5,116.27,90.43M ,1.94%
2021-01-06,116.25,117,117.99,116.25,58.98M ,-0.89%
2021-01-05,117.29,116,117.5,115.6,100.12M ,1.11%
2021-01-04,116,116.8,117.8,115.9,43.94M ,-0.01%
2020-12-31,116.01,116.01,116.01,116.01,-,0.00%
2020-12-30,116.01,117.99,117.99,116.01,61.58M ,-1.67%
2020-12-29,117.98,115.99,117.98,115.32,32.35M ,1.71%
2020-12-28,116,116.7,117.4,115.7,55.97M ,-0.60%
2020-12-24,116.7,116.03,116.94,116.03,15.38M ,-0.43%
2020-12-23,117.2,117.51,118,116.29,31.19M ,0.09%
2020-12-22,117.1,117,118.83,116.74,71.55M ,0.25%
2020-12-21,116.81,120,120,116.7,91.60M ,-2.66%
2020-12-18,120,125,126,120,264.14M ,3.45%
2020-12-17,116,112,116.36,112,52.47M ,2.66%
2020-12-16,112.99,114,115.5,112.56,50.40M ,-0.39%
2020-12-15,113.43,113.5,114,113,112.50M ,0.11%
2020-12-14,113.3,114.03,115.98,113.3,45.17M ,-1.05%
2020-12-11,114.5,115,115.09,113.11,38.78M ,-0.17%
2020-12-10,114.69,115.05,117.5,114.69,72.99M ,-1.30%
2020-12-09,116.2,117,117.2,114.57,71.22M ,-0.24%
2020-12-07,116.48,116.7,117.4,114.41,94.79M ,-0.27%
2020-12-04,116.8,116,117.49,116,112.61M ,0.70%
2020-12-03,115.99,113.75,115.99,113.28,245.04M ,1.97%
2020-12-02,113.75,113.9,114.3,113.1,77.05M ,0.31%
2020-12-01,113.4,113.9,113.9,112,266.49M ,2.53%
