Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,53.31,54,54,53.21,137.90M,-1.73%
2021-02-22,54.25,55.72,55.8,54.2,105.12M,-2.64%
2021-02-19,55.72,57.39,57.39,55.31,58.63M,0.76%
2021-02-18,55.3,55.06,56.27,55.06,79.19M,-0.81%
2021-02-17,55.75,57,57,55.36,141.81M,-2.45%
2021-02-16,57.15,56.35,57.7,56.1,60.59M,0.40%
2021-02-15,56.92,56.26,56.95,56.26,20.10M,1.01%
2021-02-12,56.35,56.6,56.85,56,37.90M,-0.12%
2021-02-11,56.42,57.41,57.5,56.42,35.26M,-1.71%
2021-02-10,57.4,57.5,57.75,56.51,48.53M,0.72%
2021-02-09,56.99,55.65,56.99,55.12,49.31M,3.43%
2021-02-08,55.1,56.79,56.8,54,93.18M,-2.27%
2021-02-05,56.38,56.01,56.69,55.72,39.20M,0.97%
2021-02-04,55.84,55.5,55.86,55.01,55.37M,1.05%
2021-02-03,55.26,56,56,53.27,97.75M,1.02%
2021-02-02,54.7,55,55.99,54,100.47M,0.37%
2021-02-01,54.5,54.5,55,54.01,48.67M,2.44%
2021-01-29,53.2,55.5,56,53.09,124.72M,-3.27%
2021-01-28,55,55.02,55.5,54.74,71.28M,-0.90%
2021-01-27,55.5,56,56.79,55.02,46.54M,-1.25%
2021-01-26,56.2,57.5,58,56.01,59.03M,-0.78%
2021-01-25,56.64,58.39,59,56.01,70.46M,-2.02%
2021-01-22,57.81,59.9,60.78,57.35,40.29M,-3.81%
2021-01-21,60.1,61.2,62.49,60.1,21.52M,-1.56%
2021-01-20,61.05,61.51,62.51,60.47,40.92M,-0.73%
2021-01-19,61.5,62,62.5,61.5,65.52M,-0.81%
2021-01-18,62,61.16,62.51,59.6,26.28M,2.39%
2021-01-15,60.55,61.5,61.5,60,24.51M,-1.66%
2021-01-14,61.57,63,63,61.5,35.04M,-1.80%
2021-01-13,62.7,64.02,65,61.8,65.18M,-1.24%
2021-01-12,63.49,63.1,64,63.01,69.35M,0.62%
2021-01-11,63.1,64.58,64.58,62.31,72.92M,-2.31%
2021-01-08,64.59,62.79,64.59,62.06,94.31M,2.87%
2021-01-07,62.79,59.3,62.79,59.3,61.87M,6.60%
2021-01-06,58.9,57.99,60.11,57.38,49.81M,1.55%
2021-01-05,58,56.57,58,55.63,90.40M,2.49%
2021-01-04,56.59,55.22,56.59,55.22,50.11M,2.52%
2020-12-31,55.2,55.2,55.2,55.2,-,0.00%
2020-12-30,55.2,54.55,56.01,54.55,56.09M,0.18%
2020-12-29,55.1,55.65,56.25,55.1,37.49M,0.00%
2020-12-28,55.1,56,56,55.01,45.89M,0.18%
2020-12-24,55,53.93,55.5,53.93,8.74M,0.97%
2020-12-23,54.47,55.74,55.75,54.1,21.73M,-0.42%
2020-12-22,54.7,55.75,57,54.02,47.25M,-1.88%
2020-12-21,55.75,56.98,56.98,54.54,29.84M,-2.19%
2020-12-18,57,55.35,57,55,112.83M,3.66%
2020-12-17,54.99,54.25,55.35,54.25,55.52M,1.46%
2020-12-16,54.2,53.92,54.73,53.5,71.92M,1.50%
2020-12-15,53.4,54,54.39,53.4,50.66M,-0.74%
2020-12-14,53.8,56,56,53.53,23.07M,-0.19%
2020-12-11,53.9,55,55.55,53.55,35.66M,-1.46%
2020-12-10,54.7,55.91,55.93,54.7,47.47M,-1.16%
2020-12-09,55.34,56,57,55.2,28.01M,-1.64%
2020-12-07,56.26,58,58.6,56.14,28.52M,-4.48%
2020-12-04,58.9,58,59.5,58,37.15M,0.68%
2020-12-03,58.5,57.18,58.5,56.03,60.26M,2.24%
2020-12-02,57.22,53.78,57.22,53.4,60.65M,6.95%
2020-12-01,53.5,53.91,54.06,53.1,113.83M,0.81%
2020-11-30,53.07,57.19,57.19,53.07,208.05M,-4.38%
2020-11-27,55.5,56.8,56.8,55,34.25M,-2.55%
2020-11-26,56.95,57.69,57.7,55.44,16.02M,1.48%
2020-11-25,56.12,57.72,57.88,55.3,30.94M,-2.77%
2020-11-24,57.72,55.3,57.89,54.81,67.17M,4.38%
2020-11-23,55.3,54.4,55.3,53.41,26.21M,2.73%
2020-11-20,53.83,53.66,55,53.3,24.15M,0.30%
2020-11-19,53.67,55.75,55.75,53.67,37.15M,-3.73%
2020-11-18,55.75,55.01,55.75,54.58,31.60M,1.79%
2020-11-17,54.77,55.93,55.93,54.01,73.34M,-2.20%
2020-11-16,56,55.19,56.39,55.18,57.67M,1.49%
2020-11-13,55.18,55,55.18,54.26,49.35M,2.00%
2020-11-12,54.1,55,55,54.1,62.13M,-1.62%
2020-11-11,54.99,55.3,56.5,54.5,90.01M,-0.56%
2020-11-10,55.3,54.7,55.89,54.29,84.53M,0.78%
2020-11-09,54.87,54.57,54.99,53.39,72.61M,2.79%
2020-11-06,53.38,53,53.54,52.3,44.18M,0.23%
2020-11-05,53.26,50.69,53.26,50.69,45.47M,4.02%
2020-11-04,51.2,50,51.49,49.7,32.97M,2.40%
2020-11-03,50,52,52.3,49.58,52.12M,-3.10%
2020-11-02,51.6,51.89,52.42,51.08,23.77M,-0.56%
2020-10-30,51.89,51.2,52.01,50.88,55.14M,1.45%
2020-10-29,51.15,51.6,51.7,50.52,55.80M,-0.25%
2020-10-28,51.28,52.5,52.5,51,77.16M,-2.64%
2020-10-27,52.67,53.8,53.8,51.84,47.31M,-2.01%
2020-10-26,53.75,53.7,54.82,53.7,25.94M,-1.95%
2020-10-23,54.82,54.7,55.5,54.26,32.74M,0.77%
2020-10-22,54.4,55.78,56.07,54.4,85.05M,-2.47%
2020-10-21,55.78,54.05,55.99,54.05,86.35M,1.94%
2020-10-20,54.72,54.5,55.5,54.01,33.90M,0.40%
2020-10-19,54.5,55,55.8,54.5,34.13M,-0.91%
2020-10-16,55,55.4,56,54.71,30.59M,-0.56%
2020-10-15,55.31,55.48,56.55,54.45,79.86M,-0.34%
2020-10-14,55.5,54.7,55.5,54,68.46M,2.99%
2020-10-13,53.89,55.1,55.4,53.69,38.95M,-1.30%
2020-10-09,54.6,54.97,55.8,53.93,89.85M,-0.67%
2020-10-08,54.97,53.05,54.97,53.05,25.24M,1.80%
2020-10-07,54,55,55,53.4,29.51M,-0.68%
2020-10-06,54.37,53.85,54.37,53.76,23.13M,1.25%
2020-10-05,53.7,55.55,55.71,52.71,39.70M,-3.33%
2020-10-02,55.55,55.5,55.8,54.15,6.15M,0.74%
2020-10-01,55.14,55.1,55.3,54.68,54.11M,0.07%
2020-09-30,55.1,54,55.1,53.46,57.09M,3.20%
2020-09-29,53.39,54.3,54.49,53.29,44.21M,-1.68%
2020-09-28,54.3,54.48,54.7,54,34.33M,1.61%
2020-09-25,53.44,53,53.46,52.99,28.04M,0.83%
2020-09-24,53,54,54,52.88,95.88M,0.00%
2020-09-23,53,53.99,53.99,52.1,58.65M,0.15%
2020-09-22,52.92,53.5,54.25,52.71,35.10M,-1.08%
2020-09-21,53.5,53.51,54.05,53.34,38.34M,-1.83%
2020-09-17,54.5,54.23,54.61,53.8,55.32M,0.46%
2020-09-16,54.25,54.01,54.85,53.92,15.75M,0.44%
2020-09-15,54.01,54.5,54.84,54.01,34.93M,-0.26%
2020-09-14,54.15,55.81,56,54.02,45.95M,-2.24%
2020-09-11,55.39,56,56,54.3,36.87M,0.07%
2020-09-10,55.35,56.7,56.7,54.9,68.87M,-2.40%
2020-09-09,56.71,57.5,57.53,56.52,34.15M,-1.56%
2020-09-08,57.61,58.97,58.97,57.51,41.38M,-2.19%
2020-09-07,58.9,58.5,59,58.02,20.15M,1.73%
2020-09-04,57.9,57.89,58.21,57.19,31.39M,0.02%
2020-09-03,57.89,58,58,56.5,15.68M,0.49%
2020-09-02,57.61,58.59,59.28,57.25,96.95M,-1.76%
2020-09-01,58.64,59,59.3,58.51,70.53M,-1.94%
2020-08-31,59.8,59.5,59.8,58.41,177.83M,-1.48%
2020-08-28,60.7,59.51,60.99,59.41,24.71M,2.02%
2020-08-27,59.5,59.19,59.99,58.33,52.40M,0.52%
2020-08-26,59.19,60.37,60.74,58.75,39.31M,-1.63%
2020-08-25,60.17,60.9,60.9,59.21,40.95M,0.12%
2020-08-24,60.1,61,61,60.04,27.92M,-1.48%
2020-08-21,61,60.08,61.2,59.81,43.38M,1.53%
2020-08-20,60.08,60.49,60.49,60,16.61M,-0.68%
2020-08-19,60.49,61.45,61.45,59.51,23.95M,0.82%
2020-08-18,60,60.14,60.67,59.7,62.54M,-0.97%
2020-08-17,60.59,61.06,61.66,60.22,35.68M,-0.66%
2020-08-14,60.99,61.45,61.45,60.57,44.09M,-0.18%
2020-08-13,61.1,62.3,62.39,61.1,37.42M,-1.89%
2020-08-12,62.28,62,62.32,61.25,31.24M,1.93%
2020-08-11,61.1,62.5,63,61.1,13.12M,-1.45%
2020-08-10,62,63.3,63.98,61.7,39.39M,-2.05%
2020-08-07,63.3,63.9,63.9,62,76.88M,0.96%
2020-08-06,62.7,63.95,63.95,61.71,20.62M,0.80%
2020-08-05,62.2,63,63.5,61.65,44.72M,0.32%
2020-08-04,62,62.6,63.1,62,71.33M,-1.29%
2020-08-03,62.81,63.01,64,62.81,33.45M,-3.37%
2020-07-31,65,63.5,65,62.96,129.49M,3.17%
2020-07-30,63,64.48,64.48,62.3,27.17M,0.00%
2020-07-29,63,63.7,64.23,61.6,39.45M,-1.10%
2020-07-28,63.7,61.51,64.01,61.5,65.72M,2.02%
2020-07-27,62.44,62,62.7,61.31,53.12M,2.14%
2020-07-24,61.13,61.53,64.64,60.97,42.60M,-1.37%
2020-07-23,61.98,61.2,63.88,61.17,90.76M,1.61%
2020-07-22,61,59.99,61.5,59.53,40.71M,1.67%
2020-07-21,60,61.49,61.49,60,124.48M,-2.44%
2020-07-20,61.5,62,63,61,47.84M,-1.77%
2020-07-17,62.61,63.2,63.24,61.56,30.11M,-1.09%
2020-07-15,63.3,65.25,65.52,62.9,92.50M,-2.97%
2020-07-14,65.24,64.5,65.43,63.67,55.63M,1.13%
2020-07-13,64.51,63.5,64.85,63.03,98.24M,2.23%
2020-07-10,63.1,64,64.01,62.02,75.84M,-0.47%
2020-07-09,63.4,65.99,65.99,62.6,62.58M,-5.23%
2020-07-08,66.9,68,68,66,66.24M,-0.87%
2020-07-07,67.49,66.85,67.85,66.16,58.23M,0.96%
2020-07-06,66.85,65.79,67.3,65.78,63.92M,2.08%
2020-07-03,65.49,65.6,65.75,65.1,10.19M,-0.44%
2020-07-02,65.78,63.55,65.78,63.01,86.99M,5.74%
2020-07-01,62.21,61.52,63.7,61.52,24.06M,1.32%
2020-06-30,61.4,62.9,62.96,61.11,90.10M,-2.43%
2020-06-26,62.93,62.47,63.25,62.23,31.21M,0.74%
2020-06-25,62.47,62.49,63,61.5,31.26M,-0.65%
2020-06-24,62.88,61.72,62.88,61,30.09M,1.85%
2020-06-23,61.74,61.61,62.8,61.2,58.36M,0.02%
2020-06-22,61.73,61,61.99,60.74,101.08M,0.13%
2020-06-19,61.65,62,62,60.3,252.53M,0.57%
2020-06-18,61.3,62,63,61.3,87.34M,-0.97%
2020-06-17,61.9,61.27,61.98,59.5,85.38M,4.90%
2020-06-16,59.01,60,60.17,59.01,67.35M,0.02%
2020-06-15,59,59.99,59.99,58.9,53.94M,-2.17%
2020-06-12,60.31,62.4,62.4,60.17,43.32M,-0.48%
2020-06-11,60.6,61.98,61.98,60,100.83M,-3.07%
2020-06-10,62.52,64.79,64.79,62.07,53.35M,-2.46%
2020-06-09,64.1,65,65,63.59,58.09M,-1.38%
2020-06-08,65,64.1,65,63.7,110.97M,0.02%
2020-06-05,64.99,62.01,64.99,62.01,79.06M,4.82%
2020-06-04,62,61.29,62,59.52,100.39M,1.14%
2020-06-03,61.3,61.5,61.5,59.83,52.10M,2.17%
2020-06-02,60,61,61.29,59.8,87.52M,0.84%
2020-06-01,59.5,59.98,60.5,58.99,43.00M,-0.82%
2020-05-29,59.99,60.5,60.5,57.39,259.09M,0.99%
2020-05-28,59.4,60.97,60.98,59.3,29.37M,-2.62%
2020-05-27,61,62.1,62.12,60.2,103.26M,-0.67%
2020-05-26,61.41,60.51,61.72,59.9,69.48M,1.49%
2020-05-25,60.51,58.3,60.51,58.3,27.08M,3.84%
2020-05-22,58.27,59.1,60.25,58.27,179.74M,-1.32%
2020-05-20,59.05,60.64,60.64,57.86,70.31M,0.54%
2020-05-19,58.73,58.74,60.6,57.54,100.49M,-0.02%
2020-05-18,58.74,60,60.17,58.74,110.11M,1.17%
2020-05-15,58.06,57.68,58.73,56.87,63.80M,0.64%
2020-05-14,57.69,56.4,57.69,55.16,99.13M,0.64%
2020-05-13,57.33,57.14,57.33,54.66,290.01M,1.48%
2020-05-12,56.49,57.33,59.11,56.43,89.15M,-1.13%
2020-05-11,57.14,56.01,57.74,55.92,108.54M,2.17%
2020-05-08,55.93,60.85,60.85,55.93,1.58B,-5.69%
2020-05-07,59.3,61.06,61.09,59.3,37.83M,0.16%
2020-05-06,59.21,59.21,60.45,58.58,40.54M,1.29%
2020-05-05,58.46,61.09,61.46,58.46,39.43M,-1.74%
2020-05-04,59.49,62.03,62.71,59.49,36.13M,-6.90%
2020-04-30,63.9,62.5,63.9,62.08,39.40M,0.03%
2020-04-29,63.88,62.58,64,61.28,40.47M,4.23%
2020-04-28,61.28,59.78,62.49,59.78,123.97M,2.52%
2020-04-27,59.78,57.62,61.03,57.61,83.46M,4.11%
2020-04-24,57.42,59.21,59.21,56.5,43.50M,-3.02%
2020-04-23,59.21,58.74,59.21,57.66,36.69M,1.14%
2020-04-22,58.54,59.09,59.61,58.21,49.23M,-0.89%
2020-04-21,59.07,59.69,60.12,57.8,77.17M,-2.33%
2020-04-20,60.48,61.09,61.46,59.79,45.24M,-1.76%
2020-04-17,61.56,62.98,63.34,61.12,87.69M,0.54%
2020-04-16,61.23,63.74,63.74,61.23,169.07M,-3.91%
2020-04-15,63.72,61.93,63.72,60.77,99.52M,2.65%
2020-04-14,62.07,63.54,63.54,61.23,152.13M,0.12%
2020-04-13,62,59.68,63.25,59.49,86.12M,0.72%
2020-04-09,61.56,59.21,62.02,59.21,88.39M,3.97%
2020-04-08,59.21,58.08,60.85,57.52,73.97M,0.80%
2020-04-07,58.74,60.15,60.58,57.34,142.29M,-0.79%
2020-04-06,59.21,58.46,60.18,58.46,154.08M,1.96%
2020-04-03,58.07,54.6,59.32,54.6,159.31M,3.85%
2020-04-02,55.92,54.51,57.33,54.51,288.39M,4.39%
2020-04-01,53.57,54.51,54.51,50.53,123.38M,-1.72%
2020-03-31,54.51,50.75,55.45,50,118.20M,9.43%
2020-03-30,49.81,50.56,52.16,49.81,126.57M,-1.30%
2020-03-27,50.47,50.27,51.7,47.93,72.04M,0.36%
2020-03-26,50.29,51.22,56.39,50.29,58.80M,-1.64%
2020-03-25,51.12,52.64,53.56,50.18,88.00M,1.91%
2020-03-24,50.17,52.63,54.41,49.81,131.81M,0.72%
2020-03-23,49.81,51.74,54.41,48.41,68.36M,-3.46%
2020-03-20,51.59,53.11,56.58,51.59,143.41M,-0.54%
2020-03-19,51.88,50.75,54.42,49.81,54.33M,2.22%
2020-03-18,50.75,54.84,54.84,48.4,179.58M,-7.69%
2020-03-17,54.98,56.39,58.27,50.78,142.26M,-2.50%
2020-03-16,56.39,64.36,64.36,55.49,110.76M,-12.41%
2020-03-13,64.38,65.79,65.79,60.98,77.93M,2.32%
2020-03-12,62.92,64.83,64.83,59.86,151.55M,-4.30%
2020-03-11,65.75,65.78,66.42,64.1,151.03M,-0.04%
2020-03-10,65.78,65.79,67.2,63.92,73.35M,-0.01%
2020-03-09,65.79,66.73,67.47,63.94,92.34M,-2.78%
2020-03-06,67.67,66.27,67.67,66.27,34.46M,-0.54%
2020-03-05,68.03,68.6,68.6,67.24,55.06M,-0.77%
2020-03-04,68.56,67.67,68.65,67.37,73.51M,1.74%
2020-03-03,67.38,68.32,68.61,66.93,94.30M,0.69%
2020-03-02,66.92,69.07,69.43,66.92,64.05M,-2.45%
2020-02-28,68.6,67.67,69.17,65.79,251.28M,-1.00%
2020-02-27,69.3,69.54,69.54,67.46,55.18M,-0.35%
2020-02-26,69.54,70.71,70.71,69.07,93.81M,-1.65%
2020-02-25,70.71,70.35,70.96,68.9,79.48M,0.52%
2020-02-24,70.34,70.48,71.65,69.83,27.47M,-1.51%
2020-02-21,71.42,70.67,71.8,70.67,130.89M,1.06%
2020-02-20,70.67,70.58,71.14,70.48,143.19M,0.28%
2020-02-19,70.48,70.77,70.95,68.93,47.85M,-0.41%
2020-02-18,70.77,70.95,71.88,70.24,100.63M,-1.58%
2020-02-17,71.9,72.56,72.57,71.88,7.61M,-0.89%
2020-02-14,72.55,72.64,72.94,72.14,55.35M,-0.12%
2020-02-13,72.64,71.43,72.83,71.43,119.28M,0.38%
2020-02-12,72.36,73.49,73.49,71.89,101.08M,-1.27%
2020-02-11,73.29,73.35,73.72,72.85,117.38M,-0.08%
2020-02-10,73.35,73.39,73.39,72.55,94.14M,-0.06%
2020-02-07,73.4,73.3,73.4,73.13,157.16M,0.13%
2020-02-06,73.3,72.65,73.47,72.65,130.14M,0.00%
2020-02-05,73.3,72.83,73.3,71.61,165.78M,0.00%
2020-02-04,73.3,72.32,73.77,72.32,176.68M,1.36%
2020-02-03,72.32,71.24,72.32,71.24,114.37M,1.38%
2020-01-31,71.33,71.5,71.72,71.16,120.09M,-0.33%
2020-01-30,71.57,70.48,71.89,70.2,241.36M,1.26%
2020-01-29,70.67,70.51,70.72,70.32,103.36M,0.00%
2020-01-28,70.67,70.48,70.93,69.54,118.29M,0.28%
2020-01-27,70.48,71.99,71.99,69.52,56.94M,-1.52%
2020-01-24,71.56,72.31,72.31,71.4,19.70M,-0.61%
2020-01-23,72,71.94,72,71,53.03M,0.09%
2020-01-22,71.94,71.76,71.99,71.56,111.74M,0.00%
2020-01-21,71.94,71,71.94,70.82,130.51M,-0.65%
2020-01-20,72.4,70.53,72.5,70.52,44.57M,0.52%
2020-01-17,72.03,73.05,73.05,70.63,64.24M,-1.39%
2020-01-16,73.05,72.87,73.34,72.55,98.24M,0.24%
2020-01-15,72.87,72.75,73.8,72.75,185.96M,-0.38%
2020-01-14,73.15,72.57,73.15,72.05,175.93M,0.26%
2020-01-13,72.96,70.16,72.96,70.16,113.89M,1.56%
2020-01-10,71.84,70.53,72.39,69.13,85.88M,1.85%
2020-01-09,70.53,70.24,70.91,69.62,193.27M,0.43%
2020-01-08,70.24,70.07,70.52,69.32,158.58M,0.24%
2020-01-07,70.07,70.25,71,69.41,185.25M,-0.27%
2020-01-06,70.25,69.13,70.78,67.43,190.62M,1.62%
2020-01-03,69.13,67.03,69.13,66.33,89.68M,3.14%
2020-01-02,67.03,65.86,67.26,66.33,98.06M,1.77%
2019-12-30,65.86,66.42,66.7,65.86,56.30M,-0.84%
2019-12-27,66.42,66.7,66.98,65.4,141.00M,-0.42%
2019-12-26,66.7,66.97,67.11,66.33,73.43M,-0.40%
2019-12-24,66.97,67.17,67.16,66.79,4.69M,-0.29%
2019-12-23,67.17,67.25,67.25,66.59,83.16M,0.00%
2019-12-20,67.17,67.03,67.26,66.52,233.26M,0.21%
2019-12-19,67.03,67.87,67.87,66.81,310.92M,-0.07%
