Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,2848.9,2772,2850,2772,3.85M,1.75%
2021-02-22,2800,2835,2835,2780,1.33M,-1.34%
2021-02-19,2838.1,2786.5,2838.1,2700,2.44M,2.87%
2021-02-18,2758.9,2720,2775,2680.2,1.57M,1.06%
2021-02-17,2730,2809,2809,2710,1.58M,-2.85%
2021-02-16,2810,2752,2814.5,2752,1.66M,1.26%
2021-02-15,2774.9,2790,2790,2736,192.52K,-0.54%
2021-02-12,2790,2730,2792,2700,2.98M,0.91%
2021-02-11,2764.9,2786,2787.9,2735,1.13M,-0.85%
2021-02-10,2788.6,2785,2820,2760.2,1.09M,-0.23%
2021-02-09,2795,2730,2795,2700,1.51M,2.19%
2021-02-08,2735,2689.9,2738,2663.1,1.30M,1.67%
2021-02-05,2690,2630,2690,2629,1.34M,2.75%
2021-02-04,2618,2612,2638.1,2600,1.74M,0.31%
2021-02-03,2610,2650,2678.7,2600.1,2.01M,-0.38%
2021-02-02,2620,2640,2669.9,2568,1.15M,0.38%
2021-02-01,2610,2600,2620,2550,1.84M,3.76%
2021-01-29,2515.5,2610,2615,2515.5,2.93M,-3.62%
2021-01-28,2610.1,2645,2675.9,2601,947.64K,-1.32%
2021-01-27,2645,2729,2730,2645,1.50M,-3.43%
2021-01-26,2739,2720,2739,2670,1.11M,0.66%
2021-01-25,2721,2665,2735,2665,1.63M,2.16%
2021-01-22,2663.4,2745,2746,2660,2.37M,-3.50%
2021-01-21,2760,2784.6,2805,2742,2.54M,-0.90%
2021-01-20,2785,2780.1,2810,2715.7,3.82M,0.54%
2021-01-19,2770,2760.4,2804.9,2751.2,3.34M,0.73%
2021-01-18,2750,2715,2769,2650,3.32M,1.11%
2021-01-15,2719.9,2762.1,2795,2680.5,3.09M,-2.51%
2021-01-14,2790,2793,2820,2767,3.80M,0.00%
2021-01-13,2790,2789,2838.9,2725,2.94M,0.94%
2021-01-12,2764,2832,2868,2722.5,4.46M,-2.30%
2021-01-11,2829,2805.1,2889,2805.1,2.06M,-2.45%
2021-01-08,2900,2868,2919.8,2800,3.93M,1.58%
2021-01-07,2855,2792.1,2857,2792.1,2.24M,2.57%
2021-01-06,2783.4,2750,2810,2750,3.89M,1.77%
2021-01-05,2735,2630,2735,2630,2.48M,2.59%
2021-01-04,2666,2650,2710,2650,3.54M,1.37%
2020-12-31,2630,2630,2630,2630,-,0.00%
2020-12-30,2630,2654.9,2669.9,2560,2.81M,-0.34%
2020-12-29,2639,2584,2665,2551,2.23M,2.13%
2020-12-28,2584,2575.6,2598,2562,2.18M,1.33%
2020-12-24,2550,2531,2555,2520,938.23K,0.75%
2020-12-23,2531,2570,2595.9,2525,1.26M,-1.52%
2020-12-22,2570,2580.3,2630,2556,878.78K,0.00%
2020-12-21,2570,2590,2599.9,2525,1.83M,-2.98%
2020-12-18,2649,2660,2692.1,2636,3.76M,0.00%
2020-12-17,2648.9,2549.9,2649,2500,2.83M,3.59%
2020-12-16,2557,2478.8,2557,2461.1,6.26M,3.99%
2020-12-15,2458.8,2499.5,2510,2445,2.20M,0.15%
2020-12-14,2455,2500,2558.9,2451,1.53M,-1.80%
2020-12-11,2500,2530,2560,2478,1.81M,-0.24%
2020-12-10,2506,2659.9,2659.9,2506,1.43M,-4.53%
2020-12-09,2624.8,2585,2678.9,2554.2,1.24M,1.15%
2020-12-07,2595,2635,2660,2490,1.75M,-1.54%
2020-12-04,2635.5,2720,2720,2625.9,2.24M,-2.93%
2020-12-03,2715,2700,2715,2660,1.57M,0.11%
2020-12-02,2712,2719.9,2738.9,2652,3.59M,-0.29%
2020-12-01,2720,2640.1,2720,2630,5.78M,4.17%
2020-11-30,2611,2740,2779,2611,5.96M,-4.71%
2020-11-27,2740,2725,2780,2655.1,2.19M,0.74%
2020-11-26,2720,2739.9,2746.4,2662,905.98K,-0.55%
2020-11-25,2735,2830,2830,2730.1,3.14M,-3.36%
2020-11-24,2830,2812.4,2839,2786,3.42M,1.07%
2020-11-23,2800,2730,2800,2700.1,2.89M,2.86%
2020-11-20,2722.1,2701.2,2760.3,2701.2,1.88M,-0.22%
2020-11-19,2728,2759,2770,2685.2,3.88M,-1.16%
2020-11-18,2760,2750,2770,2729.9,3.44M,1.10%
2020-11-17,2730,2700,2730,2615.1,6.88M,1.11%
2020-11-16,2700,2702,2747.2,2680.1,5.65M,0.93%
2020-11-13,2675,2620.2,2750,2620.2,4.27M,2.88%
2020-11-12,2600,2560,2600,2529.9,3.59M,2.00%
2020-11-11,2549,2454.5,2560,2454.5,8.87M,3.85%
2020-11-10,2454.5,2419,2470,2351,3.95M,1.47%
2020-11-09,2419,2451,2500,2350.1,5.31M,3.38%
2020-11-06,2339.8,2220,2375.1,2170.1,3.06M,5.44%
2020-11-05,2219,2030,2219,2019,4.42M,9.91%
2020-11-04,2019,2060,2060,2004.2,1.69M,-0.59%
2020-11-03,2031,2101.1,2135,2031,2.86M,-3.29%
2020-11-02,2100,2150,2180,2079.9,1.23M,-0.94%
2020-10-30,2120,2200,2250,2120,2.80M,-2.75%
2020-10-29,2180,2259,2259,2156,3.99M,-0.91%
2020-10-28,2200,2249,2249,2180.5,2.79M,-2.71%
2020-10-27,2261.2,2331.8,2360,2205,1.59M,-2.78%
2020-10-26,2325.9,2296,2350.1,2220,3.21M,0.73%
2020-10-23,2309,2265,2317.9,2264.5,2.78M,1.94%
2020-10-22,2265,2170,2265,2158,3.81M,4.86%
2020-10-21,2160,2177,2184,2133,4.13M,0.84%
2020-10-20,2142,2097.5,2142,2078,2.15M,3.18%
2020-10-19,2076,2109,2145,2071.2,1.92M,-1.61%
2020-10-16,2110,2100,2144.8,2091.1,2.63M,-0.70%
2020-10-15,2124.9,2148.9,2166,2120,1.72M,-2.12%
2020-10-14,2171,2210,2232.9,2162,3.01M,-1.32%
2020-10-13,2200,2190,2298,2170.1,2.80M,0.59%
2020-10-09,2187,2160,2225,2160,3.81M,1.72%
2020-10-08,2150,2120,2195,2076.4,3.86M,2.14%
2020-10-07,2105,2148.5,2151,2076,2.96M,-2.02%
2020-10-06,2148.5,2227,2227,2130.1,3.52M,-3.08%
2020-10-05,2216.8,2280,2298,2216.8,3.44M,-2.34%
2020-10-02,2270,2290,2302,2266,2.73M,-1.31%
2020-10-01,2300.1,2330,2330,2292.1,2.58M,0.00%
2020-09-30,2300,2310,2320,2280.1,6.31M,-0.39%
2020-09-29,2309,2314,2314,2277.3,2.02M,-0.22%
2020-09-28,2314,2306.1,2340,2290,572.54K,0.61%
2020-09-25,2299.9,2318,2343,2295,5.03M,-0.78%
2020-09-24,2318,2297,2398,2297,4.12M,2.11%
2020-09-23,2270,2350,2357.1,2259.9,5.30M,-2.78%
2020-09-22,2335,2298,2349.1,2272.1,1.91M,3.32%
2020-09-21,2260,2350,2350,2250,3.58M,-5.24%
2020-09-17,2385,2385,2400,2333.5,5.72M,-1.53%
2020-09-16,2422,2392,2422,2370,4.85M,1.55%
2020-09-15,2385.1,2341,2400,2341,884.55K,1.87%
2020-09-14,2341.3,2440,2445,2341.3,1.34M,-2.85%
2020-09-11,2410,2421.1,2434.7,2300,1.92M,1.01%
2020-09-10,2386,2440,2450,2376,1.89M,-2.21%
2020-09-09,2440,2539,2539,2440,1.81M,-3.93%
2020-09-08,2539.9,2546,2546,2511,3.77M,-1.13%
2020-09-07,2569,2520,2590,2520,347.84K,1.94%
2020-09-04,2520,2540,2580,2520,1.43M,-0.75%
2020-09-03,2539,2510,2540,2491.3,1.78M,1.97%
2020-09-02,2490,2440,2505,2430,2.09M,2.85%
2020-09-01,2421,2498,2518,2401.7,2.85M,-1.18%
2020-08-31,2450,2579,2579,2450,3.97M,-4.11%
2020-08-28,2555,2613,2670,2540,2.52M,-2.16%
2020-08-27,2611.5,2488,2611.5,2488,2.19M,4.67%
