Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,1186.4,1193,1199,1176,546.72K,-0.30%
2021-02-22,1190,1207,1207,1170,1.12M,-1.36%
2021-02-19,1206.4,1148,1206.4,1122.1,2.69M,5.00%
2021-02-18,1149,1125,1149,1117.1,791.81K,2.49%
2021-02-17,1121.1,1130.1,1145,1121.1,2.69M,-2.51%
2021-02-16,1150,1129,1150,1129,683.82K,1.82%
2021-02-15,1129.4,1138,1148.4,1120,457.60K,-0.76%
2021-02-12,1138,1124,1139,1123,1.98M,1.27%
2021-02-11,1123.7,1133,1139,1121.2,1.79M,-0.86%
2021-02-10,1133.4,1151,1155.2,1128,740.82K,-1.01%
2021-02-09,1145,1140,1148.7,1133.7,513.40K,0.44%
2021-02-08,1140,1143,1149.9,1130,859.03K,0.53%
2021-02-05,1134,1140,1170,1112.3,2.57M,-0.53%
2021-02-04,1140,1152,1152,1140,1.38M,-1.00%
2021-02-03,1151.5,1150,1151.5,1138,594.88K,0.30%
2021-02-02,1148,1125,1165,1125,1.78M,2.14%
2021-02-01,1124,1099.5,1124,1077.8,462.92K,4.46%
2021-01-29,1076,1085,1085,1048,2.65M,-0.28%
2021-01-28,1079,1100,1105.2,1055,3.82M,2.66%
2021-01-27,1051,1070,1080.7,1050,7.28M,-1.42%
2021-01-26,1066.1,1092.1,1126,1050,1.78M,-2.18%
2021-01-25,1089.9,1115,1135,1081.1,1.26M,-2.25%
2021-01-22,1115,1158,1158,1115,1.21M,-3.14%
2021-01-21,1151.2,1170,1170,1150,1.45M,-0.93%
2021-01-20,1162,1163.3,1175,1150,579.59K,-1.11%
2021-01-19,1175,1136.5,1175,1133.2,1.24M,3.39%
2021-01-18,1136.5,1155,1155,1120,2.44M,-1.17%
2021-01-15,1150,1177,1178,1149.9,648.95K,-2.54%
2021-01-14,1180,1187.9,1187.9,1166.9,392.27K,-0.67%
2021-01-13,1187.9,1146.5,1187.9,1146.5,1.31M,4.65%
2021-01-12,1135.1,1131,1143.9,1131,397.55K,0.27%
2021-01-11,1132,1157.9,1157.9,1132,2.81M,-2.25%
2021-01-08,1158,1164,1165,1136.1,1.25M,0.26%
2021-01-07,1155,1150,1160,1136,673.25K,0.09%
2021-01-06,1154,1166,1170.1,1140,866.53K,-0.94%
2021-01-05,1165,1162,1165,1134,612.04K,0.27%
2021-01-04,1161.9,1164,1199,1136,676.31K,-0.09%
2020-12-31,1163,1163,1163,1163,-,0.00%
2020-12-30,1163,1154.3,1166,1154.3,431.84K,-0.26%
2020-12-29,1166,1178.9,1179,1150.1,316.37K,-0.32%
2020-12-28,1169.7,1164.3,1180,1150,845.99K,1.47%
2020-12-24,1152.8,1151.6,1163,1141.2,76.37K,0.10%
2020-12-23,1151.6,1180,1180,1125,348.67K,-1.48%
2020-12-22,1168.9,1175,1185.6,1150,771.94K,-0.94%
2020-12-21,1180,1189.9,1189.9,1130,500.01K,-1.09%
2020-12-18,1193,1240,1250,1180,1.18M,-3.40%
2020-12-17,1235,1150,1235,1150,621.40K,7.86%
2020-12-16,1145,1145,1156.6,1133.4,834.36K,0.00%
2020-12-15,1145,1151,1151,1134.9,931.36K,0.44%
2020-12-14,1140,1129,1144.1,1129,1.07M,1.79%
2020-12-11,1120,1151.1,1162.6,1105.1,1.61M,-2.52%
2020-12-10,1149,1162.6,1175,1140,1.49M,-0.17%
2020-12-09,1151,1156,1188,1150,1.48M,-0.25%
2020-12-07,1153.9,1226,1228,1140,1.86M,-6.03%
2020-12-04,1228,1214,1228,1191,853.42K,1.23%
2020-12-03,1213.1,1232.2,1232.2,1195,1.52M,-0.57%
2020-12-02,1220,1225,1225.2,1210,2.43M,0.00%
2020-12-01,1220,1193.8,1228,1193.8,1.66M,3.21%
2020-11-30,1182,1222,1230,1180,2.01M,-3.21%
2020-11-27,1221.2,1240,1245,1220,1.59M,-0.72%
2020-11-26,1230,1243,1243,1223.1,1.02M,0.16%
2020-11-25,1228,1250,1284,1215,2.27M,-0.01%
2020-11-24,1228.1,1150,1228.1,1149.9,2.44M,9.16%
2020-11-23,1125,1105.1,1129.9,1105.1,1.63M,1.81%
2020-11-20,1105,1130,1130,1101,1.19M,-0.36%
2020-11-19,1109,1117.9,1118,1100,1.38M,-0.89%
2020-11-18,1119,1100,1139,1095,1.92M,3.13%
2020-11-17,1085,1113,1113,1070,1.25M,-1.36%
2020-11-16,1100,1100,1120.1,1090,1.75M,2.80%
2020-11-13,1070,1065,1110,1060,5.32M,0.56%
2020-11-12,1064,1095,1095,1059.2,806.06K,-2.83%
2020-11-11,1095,1101,1134.9,1060,1.68M,-0.45%
2020-11-10,1100,1101,1130,1095,3.04M,0.91%
2020-11-09,1090.1,1015,1095,1010,7.39M,11.78%
2020-11-06,975.2,943.99,985,942.97,2.17M,3.31%
2020-11-05,944,935,945,899.01,25.76M,1.07%
2020-11-04,934,950,983.98,925,1.24M,-1.18%
2020-11-03,945.2,992.29,998.94,940,1.96M,-3.79%
2020-11-02,982.47,1000,1030,976.58,400.62K,-0.97%
2020-10-30,992.1,985,999.99,982,1.18M,0.72%
2020-10-29,984.99,1003.6,1015,952,1.42M,-1.85%
2020-10-28,1003.6,1030,1030,1000.1,500.34K,-3.50%
2020-10-27,1040,1052.9,1057,1025.9,729.32K,-1.23%
2020-10-26,1052.9,1050,1095,1041,613.32K,-1.60%
2020-10-23,1070,1050,1094,1050,1.57M,-0.83%
2020-10-22,1079,1060,1079,1049.9,8.41M,2.76%
2020-10-21,1050,1045,1086,1045,3.34M,0.96%
2020-10-20,1040,1038,1050,1035,1.85M,0.48%
2020-10-19,1035,1040,1054,1035,3.74M,-0.48%
