Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,39600,40905,40905,39600,2.36M,-3.19%
2021-02-22,40905,39800,41331,38999,489.56K,2.69%
2021-02-19,39835,38000,39960,38000,300.39K,5.27%
2021-02-18,37840,39494,39494,37700,430.95K,-4.23%
2021-02-17,39512,41400,41499,39000,354.94K,-4.56%
2021-02-16,41400,41511,43300,41360,349.69K,0.98%
2021-02-15,41000,41000,41364,40628,63.88K,0%
2021-02-12,41000,39101,41450,39101,218.86K,5.11%
2021-02-11,39005,39500,39500,38547,137.83K,-1.13%
2021-02-10,39449,39800,40000,38600,142.14K,-0.88%
2021-02-09,39799,41280,41280,39169,199.40K,-2.62%
2021-02-08,40870,39325,41300,38990,348.37K,6.16%
2021-02-05,38500,37601,38590,37601,5.16M,2.42%
2021-02-04,37590,38460,38500,36750,230.98K,-2.36%
2021-02-03,38500,39160,39400,38500,124.89K,-1.69%
2021-02-02,39160,39000,39300,37504,290.50K,2.7%
2021-02-01,38130,37649,38300,37200,353.48K,2.64%
2021-01-29,37150,39499,39500,37150,389.16K,-6.42%
2021-01-28,39700,38760,39758,37900,368.38K,0.64%
2021-01-27,39449,40100,40100,38000,296.39K,-2.35%
2021-01-26,40400,39965,41024,39799,234.67K,1.1%
2021-01-25,39960,40891,41720,39502,234.83K,-2.27%
2021-01-22,40890,40915,41899,40255,178.95K,-0.05%
2021-01-21,40911,41801,42000,40398,237.36K,-1.68%
2021-01-20,41610,42552,44140,41500,387.55K,-1.4%
2021-01-19,42201,42001,42800,41720,339.07K,-0.23%
2021-01-18,42300,41040,42390,41001,92.81K,2.05%
2021-01-15,41450,42390,42390,41000,192.25K,-1.89%
2021-01-14,42249,43799,43799,41900,352.90K,-3.54%
2021-01-13,43800,43806,44200,43100,527.74K,1.27%
2021-01-12,43249,41451,43420,41410,417.84K,4.72%
2021-01-11,41298,40499,41298,39400,261.48K,1.72%
2021-01-08,40600,42511,42899,40001,383.64K,-3.2%
2021-01-07,41940,42035,43500,40760,383.97K,0.88%
2021-01-06,41574,38600,41574,38500,729.25K,8.55%
2021-01-05,38299,36366,38299,36000,454.23K,5.32%
2021-01-04,36363,35450,36901,34950,301.63K,5.1%
2020-12-31,34600,34600,34600,34600,-,0%
2020-12-30,34600,34700,35298,34101,316.04K,0.09%
2020-12-29,34570,34992,35500,33705,209.05K,-1.2%
2020-12-28,34990,33888,35236,33888,199.54K,3.83%
2020-12-24,33698,32001,34500,32000,236.07K,-4.21%
2020-12-23,35180,36100,36444,35061,357.44K,-1.46%
2020-12-22,35701,34514,36273,34514,505.96K,4.85%
2020-12-21,34050,34099,34182,33451,224.98K,-1.16%
2020-12-18,34450,34250,34600,34008,421.36K,0.58%
2020-12-17,34250,34400,34400,33610,309.22K,-0.15%
2020-12-16,34300,34502,34849,33798,295.51K,1.01%
2020-12-15,33956,33501,33999,33348,337.76K,1.36%
2020-12-14,33500,33900,34600,33412,166.28K,-1.7%
2020-12-11,34080,34002,34500,33486,119.23K,-0.58%
2020-12-10,34280,34590,35150,34002,266.17K,-0.9%
2020-12-09,34590,35002,35800,34575,339.52K,-1.03%
2020-12-07,34950,35400,35400,34374,73.15K,-0.57%
2020-12-04,35150,34100,35463,33900,451.28K,2.56%
2020-12-03,34274,34660,34700,33800,470.47K,-1.12%
2020-12-02,34661,35498,35498,34615,438.04K,-2.36%
2020-12-01,35499,36056,36300,34450,406.34K,-1.12%
2020-11-30,35901,36900,37001,35901,808.53K,-1.64%
2020-11-27,36500,36500,36950,36201,329.59K,0.01%
2020-11-26,36496,36460,36630,36100,153.03K,-0.39%
2020-11-25,36639,36400,37100,36399,357.99K,-1.26%
2020-11-24,37105,36600,37140,36550,632.72K,1.65%
2020-11-23,36501,34501,36800,34501,943.75K,5.95%
2020-11-20,34450,33890,34500,33500,722.52K,1.63%
2020-11-19,33899,33997,35000,32600,1.16M,-2.31%
2020-11-18,34699,34261,35000,34261,658.70K,1.31%
2020-11-17,34250,34515,34799,33830,670.84K,-0.64%
2020-11-16,34470,33230,34500,33230,542.21K,3.76%
