Date,Price,Open,High,Low,Vol.,Change %
2021-02-23,704.33,706.97,708.53,704.09,1,-0.32%
2021-02-22,706.6,708.65,712.2,706.39,1,-0.25%
2021-02-19,708.4,710.98,710.98,703.85,1,-0.33%
2021-02-18,710.73,713.19,714.75,708.05,1,-0.31%
2021-02-17,712.94,718.58,722.84,712.44,1,-0.75%
2021-02-16,718.33,719.33,719.9,714.16,1,-0.05%
2021-02-15,718.7,721.75,722.1,715.57,1,-0.39%
2021-02-12,721.5,726.25,727.76,720,1,-0.59%
2021-02-11,725.75,725.13,727.25,719.78,1,0.12%
2021-02-10,724.88,734.67,734.67,723.45,1,-1.30%
2021-02-09,734.4,735.5,735.66,729.86,1,-0.11%
2021-02-08,735.2,739.01,740.18,732.63,1,-0.48%
2021-02-05,738.76,735.65,739.43,732.3,1,0.46%
2021-02-04,735.4,732.63,739.95,732.45,1,0.41%
2021-02-03,732.38,732.63,735.42,728.9,1,-0.01%
2021-02-02,732.44,733.75,739.13,730.39,1,-0.14%
2021-02-01,733.5,734.82,738.47,725.5,1,-0.15%
2021-01-29,734.59,735.96,738.79,731.26,1,-0.15%
2021-01-28,735.73,738.63,745.69,735.21,1,-0.35%
2021-01-27,738.33,733.2,740.58,732.33,1,0.73%
2021-01-26,732.95,732.97,734.22,727.31,1,0.03%
2021-01-25,732.75,727.6,736.59,723.65,1,0.74%
2021-01-22,727.38,717.38,729.33,717.38,1,1.43%
2021-01-21,717.15,722.09,722.09,710.99,1,-0.65%
2021-01-20,721.87,737.28,738.49,720.58,1,-2.05%
2021-01-19,737,734,739.1,728.32,1,0.48%
2021-01-18,733.5,734.8,739.54,732.13,1,-0.14%
2021-01-15,734.55,726.48,737.76,726.47,1,1.15%
2021-01-14,726.23,737.75,741.32,725.27,1,-1.49%
2021-01-13,737.25,725,745.82,724.08,1,1.72%
2021-01-12,724.75,719.48,729.33,716.85,1,0.77%
2021-01-11,719.23,712.13,721.5,712.04,1,1.03%
2021-01-08,711.88,712.78,715.06,707.6,1,-0.08%
2021-01-07,712.45,696.5,713.3,696.03,1,2.33%
2021-01-06,696.25,695.88,700.9,692.6,1,0.09%
2021-01-05,695.63,704.3,705.9,695.66,1,-1.20%
2021-01-04,704.05,710.5,710.92,700.84,1,-0.80%
2021-01-01,709.75,710.5,710.5,710.5,1,0.00%
2020-12-31,709.75,710.5,710.95,710,1,-0.04%
2020-12-30,710,715.35,715.39,707.45,1,-0.71%
2020-12-29,715.08,712.01,715.6,708.24,1,0.48%
2020-12-28,711.63,714.76,714.82,707.69,1,-0.38%
2020-12-25,714.38,714.76,714.76,714.76,1,0.00%
2020-12-24,714.38,714.08,715.03,705.49,1,0.10%
2020-12-23,713.7,722.7,722.7,712.42,1,-1.21%
2020-12-22,722.45,725.55,732.59,721.73,1,-0.36%
2020-12-21,725.05,725.26,736.79,724.75,1,-0.01%
2020-12-18,725.13,721.85,727.9,718.65,1,0.50%
2020-12-17,721.53,734.17,734.17,720.03,1,-1.67%
2020-12-16,733.8,736.13,737.61,731.96,1,-0.27%
2020-12-15,735.75,735.34,737.45,729.65,1,0.09%
2020-12-14,735.1,734.28,736.18,729.18,1,0.15%
2020-12-11,734.03,734.75,737.77,730.17,1,-0.06%
2020-12-10,734.5,743.2,743.2,733.68,1,-1.14%
2020-12-09,742.95,744.92,745.15,737.18,1,-0.18%
2020-12-08,744.3,745.22,745.38,741.73,1,-0.04%
2020-12-07,744.6,743.91,748.44,740.29,1,0.14%
2020-12-04,743.53,750.61,751.38,743.48,1,-0.91%
2020-12-03,750.36,755.97,756,749.89,1,-0.71%
2020-12-02,755.7,760.01,760.14,752.28,1,-0.52%
2020-12-01,759.68,763.42,763.42,757.16,1,-0.13%
2020-11-30,760.7,768.65,770.07,760.33,1,-0.97%
2020-11-27,768.15,766.35,769.32,761.97,1,0.40%
2020-11-26,765.1,764.8,768.33,763.17,1,0.07%
2020-11-25,764.6,773.8,775.12,764.39,1,-1.16%
2020-11-24,773.6,773.94,777.15,767.98,1,-0.02%
2020-11-23,773.74,764.13,774.32,759.1,1,1.28%
2020-11-20,763.93,759.16,766.34,753.47,1,0.66%
2020-11-19,758.93,758.3,762.41,757.29,1,0.11%
2020-11-18,758.08,763.21,764,756.18,1,-0.64%
2020-11-17,762.98,766.53,770.43,762.96,1,-0.41%
2020-11-16,766.1,767.08,771.05,762.83,1,-0.09%
2020-11-13,766.8,761.08,769.76,761.05,1,0.80%
2020-11-12,760.75,754.7,761.64,752.85,1,0.87%
2020-11-11,754.2,754.73,760.23,750.08,1,0.00%
2020-11-10,754.23,757.55,763.67,754.38,1,-0.39%
2020-11-09,757.18,751.49,761.01,747.22,1,0.81%
2020-11-06,751.12,756.1,764.55,751.26,1,-0.61%
2020-11-05,755.73,754.15,757.22,747.51,1,0.27%
2020-11-04,753.7,759.5,764.13,753.1,1,-0.70%
2020-11-03,759.05,767.72,767.78,752.66,1,-1.09%
2020-11-02,767.4,773.3,773.58,766.01,1,-0.73%
